Verkiezing;;Gemeenteraad Moerdijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Moerdijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Theater de Schuur;Theaterzaal De Borgh;Pluspunt Serena;Het Anker;Gymzaal Droge Mark;Trefpunt;Vier Hoog Zevenbergen;Ons Stedeke;De Zevensprong;Gymzaal Klundert Spido;De Niervaert;De Stad Klundert;De Ankerkuil;D' Ouwe School;De Standaert;Buurthuis Irene;De Blokhut;De Parel;Het Trefpunt;De Graanbeurs;Pestalozzihuis;Drive-in gemeentewerf Klundert;Theaterzaal De Borgh;De Stad Klundert;De Standaert;Buurthuis Irene;De Parel;Theaterzaal De Borgh;De  Stad Klundert;De Standaert;Buurthuis Irene;De Parel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;102;112;115;116;118;202;212;215;216;218
Postcode;;;;;4761 CA;4761 BE;4761 TW;4761 CD;4761 JB;4761 ZC;4762 AL;4772 RA;4765 CP;4791 JN;4791 GB;4791 HL;4781 AR;4759 BD;4758 AJ;4797 AJ;4797 HT;4793 CB;4793 EP;4793 GB;4794 AA;4791 PA;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB
;;3;Pas, M.A. Pas;233;7;8;17;4;5;24;6;69;4;3;2;5;7;1;6;3;1;12;7;3;7;0;6;1;1;2;1;11;4;2;0;4
;;4;Dalderop, B.J.;26;1;2;3;0;4;2;1;1;1;1;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;5;0;0;0;0
;;5;van de Bergh, H.J.M.A.G.;12;0;1;4;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;6;van Ham, J.H.;38;2;3;11;1;0;11;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0
;;7;Hendrikx, C.H.M.;25;2;0;0;0;1;0;0;0;1;4;0;5;0;0;0;0;2;2;0;1;0;0;0;2;0;1;0;3;1;0;0;0
;;8;Kapiteijn, K.;19;0;0;0;0;1;0;0;0;2;1;0;0;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;9;Nuijten, D.H.L.;41;0;2;2;0;0;1;0;0;2;0;0;1;0;0;0;2;13;0;1;1;2;0;0;2;0;5;2;0;1;0;1;3
;;10;de Ridder, K.H.;42;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;9;14;5;1;0;0;0;0;0;5;0;0;0;1;4
;;11;de Vos, G.;23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;7;11;0;1;0;0;0;0;0;2;0;0;0;0;0
;;12;van Walsum, J.;6;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;13;de Wit-Greuter, M.G.;17;1;1;0;0;0;1;0;0;2;1;0;0;0;0;1;3;1;0;0;0;1;0;2;0;1;1;0;0;0;0;1;0
;;14;Witjes, W.J.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
;;15;Pistorius-van Geel, M.A.;87;6;10;13;0;7;6;5;8;6;0;1;0;3;0;2;0;0;0;1;0;1;0;6;0;0;0;0;12;0;0;0;0
6;ChristenUnie;;;851;21;20;24;26;17;29;4;15;17;129;77;115;11;14;11;33;11;11;26;8;13;1;19;48;0;8;6;22;102;1;9;3
;;1;Schreuders, L.;606;12;11;7;9;7;12;3;8;6;104;68;85;5;10;10;21;10;9;19;7;10;1;8;43;0;8;5;13;85;1;7;2
;;2;Janse, H.J.;42;3;1;6;1;1;2;0;4;0;7;1;9;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;3;0;0;0
