Verkiezing;;Gemeenteraad Gemert-Bakel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gemert-Bakel;;;;;;;;;;;;;;;;;;;;;
Nummer;;1652;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Gemert woensdag;Stembureau Het Kunstlokaal;Stembureau Kindcentrum de Samenstroom;Stembureau Basisschool 't Einder;Stembureau Kindcentrum Berglaren;Stembureau Commanderij College Doregraaf;Stembureau Cultuurhuis De Eendracht;"Stembureau Dorpshuis ""De Bron""";"Stembureau MFA ""de Sprank""";"Stembureau Kindcentrum ""De Dompelaar""";Stembureau Het Parochiehuis Woensdag;"Stembureau Verenigingsgebouw ""Musis Sacrum""";Stembureau Stichting Jeugdcentrum Bakel;"Stembureau Gemeenschapshuis ""De Schans""";"Stembureau Partycentrum ""D'n Eik""";Stembureau Gemeentehuis Gemert Maandag;Stembureau Het Parochiehuis Maandag;Stembureau Gemeentehuis Gemert Dinsdag;Stembureau Het Parochiehuis Dinsdag
Gebiednummer;;;;;1;3;5;7;9;11;13;101;201;301;401;403;405;501;601;701;703;801;803
Postcode;;;;;5421 CV;5421 PN;5421 VA;5422 AN;5421 JH;5421 CR;5421 KC;5423 SL;5425 VR;5424 TS;5761 CB;5761 RN;5761 BJ;5763 BG;5764 PR;5421 CV;5761 CB;5421 CV;5761 CB
;;4;Geerts, B.;201;33;21;14;26;17;2;18;21;3;8;4;1;1;0;0;7;3;22;0
;;5;Verhagen, J.P.J.;57;10;9;9;3;3;1;5;1;8;0;2;0;0;0;3;2;0;0;1
;;6;Mickers-Willems, P.W.E.;62;12;6;5;8;11;0;2;0;2;1;1;2;1;0;2;1;0;8;0
;;7;Methorst-van Kessel, A.M.J.J.T.;93;27;15;5;10;7;3;5;2;2;2;0;0;0;1;1;6;0;7;0
;;8;Wenniger, J.A.;22;1;0;0;0;0;0;1;0;17;0;0;0;0;2;0;0;0;1;0
;;9;Hoefnagel, T.G.I.;31;2;1;1;0;0;0;0;21;0;0;0;2;0;1;0;1;0;2;0
;;10;van Dijk-Vereijken, G.W.A.M.;28;0;2;4;1;1;0;0;16;1;0;3;0;0;0;0;0;0;0;0
;;11;van Dommelen, J.P.M.;42;9;0;2;0;0;0;0;0;0;0;8;5;1;7;0;0;7;0;3
;;12;Vos, F.J.G.;19;0;2;4;2;9;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;13;van Dommelen-van den Heuvel, H.I.;19;0;0;0;0;1;0;0;0;0;0;1;0;0;15;0;0;0;1;1
;;14;Pulles, H.G.;26;0;0;0;0;0;0;0;0;0;0;2;2;0;20;0;0;0;0;2
;;15;Hellings, A.H.M.;11;1;1;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;2;2
7;Sociaal Gemert-Bakel;;;1554;199;155;89;129;106;7;90;84;52;44;81;70;23;44;32;111;47;132;59
;;1;Vos, M.G.;615;100;75;46;56;52;1;49;24;13;5;23;5;6;17;14;50;8;58;13
;;2;van den Eventuin-Boogaerts, T.G.P.;333;42;50;25;26;19;1;14;15;7;3;14;13;6;5;2;32;11;37;11
;;3;Remmers, C.G.P.J.;63;0;0;0;1;0;0;3;0;1;0;13;18;5;4;1;0;9;0;8
;;4;Bekx, J.M.;57;10;4;4;10;6;0;0;5;1;1;2;0;0;0;0;6;0;7;1
;;5;Ioannidis, Z.T.X.;99;11;8;6;9;5;2;5;13;0;13;3;2;2;2;1;3;1;9;4
;;6;Kerkers, T.J.A.;26;5;2;1;2;2;1;4;0;1;1;6;0;0;0;0;0;0;1;0
;;7;van den Eventuin, W.M.A.;7;0;2;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
;;8;Thijssen-Manders, A.H.M.;26;4;0;2;0;0;0;0;2;14;0;1;0;0;1;1;1;0;0;0
;;9;Strijbosch, A.A.J.;85;0;1;0;0;2;0;0;1;1;0;16;23;4;6;0;0;14;0;17
