Verkiezing;;Gemeenteraad Tilburg 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tilburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Restaurant Lucebert;Cinecitta;Wijkcentrum In De Boomtak;Odulphuslyceum;Factorium (ingang Bisschop Zwijssenstraat);Wijkcentrum Koningshaven;Pathé Tilburg centrum;De Pelgrimhoeve;Café Bet Kolen;Wijkcentrum Zuiderkwartier;Wijkcentrum Nieuwe Stede;Sociëteit Philharmonie;Gymzaal Staringstraat;Wijkcentrum Spijkerbeemden;Sporthal De Blaak;Sportcafé De Blaak;Avans Hogeschool;Gymzaal Cederstraat;Woonzorgcentrum Joannes Zwijsen;De Wissel;Dansschool van Opstal;Wijkcentrum de Baselaer;Textielmuseum;MFA De Poorten;Wijkcentrum De Ypelaer;Gymzaal Donizettistraat;MFA De Symfonie;Sportcafé Drieburcht;2College Cobbenhagen;De Rooi Pannen;Parochiezaal de Goede Herder;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkgebouw Reinevaar;Wijkcentrum Heyhoef;Sportcentrum Reeshof;Scholencentrum Grote Beemd;TSV Gudok;Gymzaal Bergeijkstraat;Gymzaal Meerssenstraat;Sportclub 't Zand;Cultureel centrum De Schalm;Dansschool van Opstal;Sportcafé 't Ruiven;Stichting de Peppel, locatie Kruisgebouw;Raadzaal Udenhout;Buurthuis Jeruzalem;Drive Inn (evenemententerrein Het Laar);SV Reeshof;Wijkcentrum De Back;Gemeenschapshuis De Vorselaer;Klasse Theater;Gymzaal Verhulstlaan;Sporthal Dongewijk;Gymzaal Mingersbergstraat;Gymzaal Berkelseweg;Sporthal De Roomley;MFA Het Spoor;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel stembureau;Mobiel Stembureau;Mobiel stembureau;Mobiel stembureau;Centraal Station Tilburg (noordzijde);Centraal Station Tilburg (zuidzijde);Interpolis;Tilburg University;´t Plein;013 Poppodium;Voormalig GGD gebouw;Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar);Wijkcentrum Koningshaven;Wijkcentrum Zuiderkwartier;013 Poppodium;Wijkcentrum Spijkerbeemden;Voormalig GGD gebouw;MFA De Poorten;Wijkcentrum de Ypelaer;Wijkcentrum 't Sant;MFA Het Kruispunt;Wijkcentrum Heyhoef;Cultureel centrum De Schalm;Het Raadhuis Udenhout;Drive Inn (evenemententerrein Het Laar)
;;14;Vrenken, G.J.C.M.;72;0;1;1;0;6;0;0;0;0;0;0;0;0;1;6;10;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;4;2;3;0;3;3;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
;;15;Vinken, M.J.F.M.;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Lensink-Vrijmoed, P.F.W.M.;11;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;17;Rutten, A.T.G.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;18;Hezemans, R.A.A.;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;Verhoeven, G.A.C.M.;57;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;0;0;0;31;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0
;;20;van Puijenbroek, J.F.M.;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Iersel, P.A.M.;41;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;3;4;0;0;0;0;3;0;0;0;0;2;4;0;0;0;0;0;0;3;0;3;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;22;Gimbrere, A.Q.M.;50;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;3;0;0;1;0;1;0;0;0;0;1;4;0;0;3;1;0;1;0;1;0;0;0;2;0;3;0;0;1;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;2;1;4;0;1;0;0;1;0;0;1;0;0
7;Partij van de Arbeid (P.v.d.A.);;;4291;45;31;92;49;49;42;23;77;30;53;68;18;10;52;99;119;38;15;73;38;58;89;80;82;31;22;68;112;17;48;57;44;40;92;145;40;53;15;59;64;12;42;26;33;30;28;47;14;15;94;13;18;24;32;45;20;29;49;26;45;12;40;32;57;41;24;55;53;12;71;24;50;32;30;23;61;14;38;41;47;28;31;110;44;12;15;18;25;50;9;59;43;25;22;17;78;36;19;14
;;1;Çelik, Y.;1733;18;9;37;26;20;16;8;34;16;24;29;6;4;24;20;32;17;6;33;20;31;44;31;32;22;7;36;55;3;20;24;21;10;25;51;16;23;4;20;23;5;19;9;19;16;11;28;4;7;21;9;4;14;13;21;2;16;23;6;18;5;20;15;20;23;10;21;21;4;16;15;17;7;12;9;18;9;9;19;29;11;9;48;22;3;5;9;7;18;6;14;18;14;8;9;30;26;11;4
;;2;Jansen, S.J.A.;779;5;4;11;3;10;8;4;24;0;4;4;7;0;4;62;64;6;1;13;6;9;13;14;10;1;2;6;21;4;7;4;0;5;20;22;6;6;2;16;5;1;5;8;4;4;3;7;0;1;48;1;4;1;5;4;6;1;8;9;7;3;4;2;17;5;4;9;5;2;14;3;7;9;2;3;15;0;15;6;4;5;7;8;7;1;5;3;6;10;1;20;10;5;2;3;8;3;0;6
;;3;Mieris, P.L.R.;664;8;4;22;6;11;8;3;11;2;2;13;2;3;6;7;13;2;6;13;8;13;12;11;15;1;5;13;6;2;5;3;3;3;11;31;10;16;4;10;20;0;11;2;3;4;7;4;3;3;6;1;2;7;5;8;4;2;9;5;4;1;4;6;14;4;4;3;5;2;13;4;8;8;7;3;12;3;5;5;5;2;3;26;5;3;0;2;8;6;2;13;7;1;4;1;22;4;3;2
;;4;Rube, J.J.;91;3;8;5;6;2;0;1;4;0;1;4;0;0;2;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;2;1;1;0;3;1;0;1;1;1;0;1;0;0;0;1;0;0;0;3;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;4;1;1;0;3;0;0;0;4;0;1;2;0;1;0;1;0;0;0;0;0;6;0;2;0;0;0;0;0;1;1;0
;;5;Barto, A.P.;88;2;0;2;1;0;3;0;0;0;2;4;0;0;1;5;0;0;0;3;0;0;2;0;0;0;0;2;5;0;0;2;0;0;2;3;1;2;1;0;2;0;0;1;0;1;1;2;1;0;1;0;0;0;2;1;1;2;0;0;1;0;0;1;1;1;0;2;0;0;0;0;0;1;1;1;1;0;2;3;0;0;1;2;1;1;1;0;0;0;0;0;0;1;3;0;4;0;1;0
;;6;Aboulkacem-Jardaoui, A.;460;2;3;6;2;2;1;2;1;2;8;6;2;1;12;2;5;11;2;5;2;0;4;6;14;6;5;7;12;7;8;12;10;14;22;17;6;4;3;3;4;3;1;0;4;4;3;0;2;1;8;0;0;0;3;6;3;4;4;5;11;3;7;5;2;3;1;12;10;2;12;2;3;6;4;0;6;1;2;2;8;7;10;17;2;0;0;0;1;4;0;7;0;2;3;3;6;2;1;1
;;7;van Gils, R.J.P.;46;0;1;0;0;0;2;0;0;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;1;0;1;0;2;3;0;0;0;1;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;8;Stoffelen, C.P.;38;2;1;3;1;0;0;2;1;0;1;2;0;0;0;0;0;1;0;1;0;0;2;5;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0
;;9;Vorsteveld, J.P.;18;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;3;0;0;0;0;0;0;0
;;10;van Duijnhoven, P.P.A.;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Loon, H.C.J.M;19;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0
;;12;Aerdts, J.;55;2;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;3;5;0;3;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;2;0;0;2;0;0;2;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2;2;3;0;1;0;2;1;0;1;2;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0
;;13;Paas, J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0
;;14;de Graaf, P.A.;30;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;0;0;3;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;15;van Soolingen, B.;16;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Koning, N.;20;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Raghoenath, S.N.G.;18;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
;;18;Korsmit, H.P.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Hordijk, K.J.M.;9;0;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Iskenderkaptanoglu-Filiz, N.;43;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;1;0;2;0;0;1;3;0;0;1;0;1;1;1;0;0;0;0;2;1;4;2;0;1;0;3;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;21;Blaauwbroek, A.A.M.;9;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;22;Brabers, N.M.G.;26;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;3;0;1;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;23;Baytemir, O.;47;0;0;0;0;0;0;0;0;3;5;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;3;4;4;4;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;24;van Wanrooij, D.J.A.;29;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;0;3;1;0;0;0;2;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;25;Sweep, J.J.C.G.;17;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0
;;26;Stam, K.H.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
8;50PLUS;;;4364;23;5;57;31;15;28;7;29;25;31;38;11;7;42;81;57;18;16;57;19;19;69;60;44;36;12;90;120;19;37;49;53;40;54;223;61;71;14;91;64;26;96;48;94;131;53;22;17;11;37;48;6;42;56;47;19;73;37;8;25;25;40;19;47;16;57;6;7;2;12;58;17;19;29;30;26;22;33;35;37;32;56;238;104;70;14;32;14;22;24;35;36;31;32;26;212;57;64;9
;;1;van Tilborg, H.C.A.M.;2659;17;2;42;23;10;16;5;25;20;26;24;9;5;28;57;44;8;15;38;12;17;55;47;33;26;9;77;88;12;30;36;35;27;42;143;35;41;6;49;32;5;39;16;37;37;17;17;13;5;29;16;5;35;38;27;2;22;26;3;17;15;25;11;24;15;30;3;4;1;10;12;12;12;23;18;14;15;23;25;29;24;40;158;39;15;11;25;12;13;19;31;29;26;25;18;134;24;16;7
;;2;Vriens, M.F.L.;416;0;0;3;0;1;3;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;1;1;0;3;0;2;2;0;0;3;0;2;1;2;1;0;0;3;1;0;4;2;3;83;32;0;0;1;1;30;0;0;0;2;1;49;2;0;3;1;1;0;0;0;2;0;0;0;0;39;1;0;0;4;1;0;1;0;0;1;3;6;2;50;0;2;1;0;0;0;1;1;1;0;4;4;42;0
;;3;Sweep, J.F.M.;312;1;0;0;3;0;1;0;0;2;0;3;0;0;5;0;0;3;1;4;0;1;1;2;2;0;1;3;1;0;4;2;3;4;0;40;12;12;2;15;12;12;1;0;3;0;1;1;0;2;1;0;0;1;11;5;0;0;1;0;1;1;5;2;1;0;1;0;0;0;0;0;1;1;1;0;2;1;2;2;0;2;2;46;1;1;2;1;0;0;0;0;0;0;2;1;50;3;1;0
;;4;Wijsman, J.W.;78;0;0;3;0;2;0;2;0;0;0;1;0;0;0;14;8;2;0;1;1;0;0;1;2;1;0;0;5;0;1;1;2;1;1;3;0;1;0;3;0;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0
;;5;van de Wouw, B.L.J.;42;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;1;0;1;0;0;0;0;2;10;0;0;0;1;1;0;2;0;4;1;1;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;6;Claassen - Hage, A.C.J.M.;262;2;2;3;2;1;1;0;0;3;0;4;2;0;2;2;3;3;0;3;2;0;1;5;1;3;1;2;0;1;0;4;5;3;2;17;7;9;3;12;12;3;4;1;5;7;1;3;0;0;2;0;0;2;4;3;0;0;4;1;1;2;2;3;16;1;1;0;2;1;0;4;0;6;3;4;4;0;0;2;2;1;2;12;0;0;0;2;1;5;1;2;0;1;2;3;12;0;0;1
;;7;Middelhof-Noevers, L.M.A.;98;0;0;0;2;1;3;0;0;0;0;1;0;0;2;1;1;0;0;4;0;0;2;0;1;0;0;0;1;1;0;1;0;0;1;9;3;1;2;3;1;0;1;1;2;0;0;0;1;0;1;0;1;1;1;4;1;1;2;1;0;2;6;1;0;0;0;2;0;0;2;1;1;0;0;0;2;3;1;1;0;1;1;5;1;0;0;0;0;0;0;0;0;1;0;1;5;1;0;1
;;8;Linkels, A.J.A.M.;57;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;6;7;1;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0
;;9;Ronowikromo, S.S.;50;1;1;0;1;0;1;0;0;0;1;1;0;0;2;0;0;0;0;1;2;0;3;1;2;1;0;2;6;0;0;1;1;1;1;1;0;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;10;Schuurmans, C.J.M.;13;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Witlox, M.J.C.;25;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;2;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Janssen, H.J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0
;;13;Opschoor, J.;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;14;Denissen, H.M.J.M.;213;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;1;0;2;3;0;0;0;0;1;0;1;3;0;0;2;0;0;37;20;34;1;0;0;0;0;0;0;0;0;0;0;12;1;0;0;1;0;0;0;0;0;13;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;2;1;44;2;0;0;0;1;0;0;1;0;0;0;0;18;1;0
;;15;den Boer, M.E.C.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;Maessen, E.E.T.M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Vera, J.H.M.;33;0;0;1;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;3;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;18;van den Hout, M.A.W.;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;0
