Verkiezing;;Gemeenteraad Tholen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tholen;;;;;;;;;;;;;;;;;;;;
Nummer;;0716;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;"Stembureau Ver.gebouw ""de Wingerd""";Stembureau Gemeentehuis Tholen;"Stembureau Gemeenschapscentrum ""Meulvliet""";Stembureau Zalencentrum Ger.Gemeente;Stembureau Dorpshuis 't Ouwe Raed' uus;Stembureau Sassegrave;"Stembureau Gemeenschapscentrum ""Haestinge""";Stembureau Gebouw Calvijn;Stembureau Dorpshuis de Stove;Stembureau Museum de Meestoof;"Stembureau Gemeenschapscentrum ""Wellevaete""";"Stembureau Dorpshuis ""De Vossenkuil""";Stembureau Dorpshuis De Wimpel;Stembureau Dorpshuis Ons Dorpshuis;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge;Stembureau Gemeentehuis Tholen;Stembureau Gemeenschapscentrum Haestinge
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;4691 BP;4691 DV;4691 HT;4691 DS;4693 BV;4694 BP;4695 BA;4695 CE;4696 BK;4697 GE;4697 BJ;4698 AM;4675 CS;4675 RJ;4691 DZ;4695 BA;4691 DZ;4695 BA
;;3;van Akkeren, J.P.M.;80;11;1;10;0;0;7;7;0;2;5;8;3;1;1;15;2;6;1
;;4;Raas-Tophoven, N.P.L.;226;31;12;20;8;11;7;14;2;7;16;18;29;10;8;18;4;7;4
;;5;Zeilstra, R.;32;0;1;4;0;1;0;3;0;11;1;4;1;1;1;1;0;3;0
;;6;Verreijen, A.J.;14;3;0;0;0;0;0;1;0;0;0;0;5;1;0;3;0;1;0
;;7;Prins-Tromp, J.M.;40;2;1;1;1;2;1;14;2;0;0;2;2;5;0;1;4;2;0
;;8;Dekkers Avcu, M.C.E.;36;6;5;3;5;2;0;0;1;0;1;0;1;3;2;3;0;3;1
;;9;Krijnen, B.L.P.;8;2;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;2;0
;;10;de Bruijn, A.O.;6;0;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
;;11;Oudesluijs, J.;94;3;2;4;1;2;5;33;2;1;3;10;7;2;0;2;9;0;8
;;12;van Dorst, E.;11;1;1;2;2;1;1;0;0;0;0;0;0;0;1;0;0;2;0
;;13;Westdijk, M.C.;9;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;2;0
;;14;Suurland, P.;17;0;0;0;0;0;13;1;0;0;0;0;1;0;1;0;0;1;0
;;15;Westerweel, G.;12;6;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0
;;16;Kettelerij, J.H.;11;0;2;4;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0
;;17;Joosse, P.J.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Kloet, J.J.;36;1;0;0;2;4;0;10;3;3;2;2;1;0;0;0;5;3;0
