Verkiezing;;Gemeenteraad Sluis 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sluis;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1714;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Kerkgebouw Open Haven Oostburg;Parochiecentrum H. Eligiuskerk Oostburg;Dorpshuis De Zevendraaier Zuidzande;Verenigingsgebouw Cadzand;Dorpshuis Nieuwvliet;MFC 't Torentje Groede;MFC De Korre Breskens;Kantine V.V. Breskens;Dorpshuis Hoofdplaat;Gymzaal IJzendijke;Protstantse Kerk Schoondijke;Dorpshuis Waterlandkerkje;Gymzaal Aardenburg;Dorpshuis Sint Kruis;Dorpshuis Eede;MFC De Keure Sluis;Dorpshuis d'Ouwe Kerke Retranchement;Kerkgebouw Open Haven Oostburg maandag;MFC De Korre Breskens maandag;MFC De Keure Sluis maandag;Kerkgebouw Open Haven Oostburg dinsdag;MFC De Korre Breskens dinsdag;MFC De Keure Sluis dinsdag
;;12;Carels-Steenbergen, M.E.;26;2;0;0;0;0;1;7;3;0;1;0;0;1;0;0;0;0;0;2;0;0;9;0
;;13;Kornelis, M.P.;23;0;0;0;0;0;0;1;0;0;1;21;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Putter, A.J.;25;0;0;2;17;0;0;1;0;1;0;1;0;0;0;1;0;0;2;0;0;0;0;0
;;15;van Alphen, T.S.;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0
;;16;Basting, A.C.;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;4
;;17;van Rie, S.H.;17;0;1;0;1;0;1;0;0;0;0;0;0;1;0;13;0;0;0;0;0;0;0;0
;;18;Jansen, D.A.A.M.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van Heel-van den Abeele, J.J.;13;4;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;3;0;0;1;0;0
;;20;Pielaet, T.;8;0;0;0;0;1;0;1;1;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0
;;21;de Wever, A.A.;37;2;0;2;0;0;0;2;2;0;1;26;0;0;1;0;1;0;0;0;0;0;0;0
;;22;Moerman, A.L.;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0
;;23;Beeke, A.;13;0;0;1;0;0;0;0;0;0;0;8;0;0;1;2;0;0;0;0;0;0;0;1
;;24;Wieme, E.C.B.;13;2;3;0;0;0;0;0;3;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0
;;25;Faes, F.P.E.;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;2
;;26;van Oostenbrugge, S.C.M.;12;0;2;0;0;0;0;2;6;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;27;Traas, R.;7;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0
;;28;de Nijs, C.S.A.;9;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;0;2;0
;;29;van Waesberghe, A.H.A.;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;30;de Vriend, D.;44;0;0;0;0;0;0;16;5;0;4;3;1;0;2;0;2;0;1;2;0;0;8;0
;;31;Bolijn-Hertzberger, C.R.A.F.A.;25;3;2;0;2;1;2;1;2;0;2;3;0;0;2;0;2;0;2;0;0;1;0;0
9;Forum voor Democratie;;;472;36;35;17;18;3;25;42;28;20;48;31;10;38;3;17;57;3;10;2;2;9;13;5
;;1;Claerhoudt, I.C.F.;289;25;21;12;14;1;11;30;22;13;33;14;4;16;3;8;36;3;5;2;0;4;11;1
;;2;Van den Bosch, J.G.L.;33;0;0;2;0;0;5;1;2;1;6;1;2;1;0;1;9;0;0;0;0;1;0;1
;;3;Koens, C.;38;2;4;2;3;0;3;2;3;1;5;1;0;9;0;0;1;0;1;0;0;1;0;0
;;4;Oordt, E.;11;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;3
;;5;Beun, E.L.A.;40;4;4;0;0;0;2;1;1;4;3;12;3;0;0;0;3;0;0;0;0;2;1;0
;;6;IJben, M.W.;53;5;2;1;1;2;4;5;0;0;0;1;0;12;0;7;5;0;4;0;2;1;1;0
;;7;van der Steldt, B.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Provoost, K.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Selen, C.;4;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Bos, M.;4;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
