Verkiezing;;Gemeenteraad Veenendaal 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veenendaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Duivenwal;Wijkcentrum Panorama;Gebouw Rode Kruis;Voetbalvereniging De Merino's;Zaalruimte Het Trefpunt;Vredeskerk;Salvatorkerk;Voetbalvereniging VRC;Sionskerk;Gymzaal 't Kofschip;Voetbalvereniging G.V.V.V.;Bethelkerk;Gymzaal Sporthal West (1);Gymzaal Langelaar;Gymzaal Trommelaar;Buurthuis 't Turfke;Gymzaal Gouverneurslaan (1);Gymzaal Gouverneurslaan (2);Gymzaal Zoete Inval;Wijkkerk De Open Hof (1);Wijkkerk De Open Hof (2);Wijkcentrum Kleine Beer;Gymzaal Zuiderkruis;Westerkerk;Gymzaal Langelaar (2);Gymzaal Goudmos (1);Gymzaal Goudmos (2);Pnielkerk;Spectrum;Sporthal Oost (Ontmoetingshuis) (1);Sporthal Oost (Ontmoetingshuis) (2);Sporthal Oost (Ontmoetingshuis) (3);Gymzaal Sporthal West (2);Drive-through (gemeentewerf);Mobiel Stembureau;Zaalruimte Trefpunt;Wijkkerk De Open Hof;Westerkerk;Spectrum;Zaalruimte Trefpunt;Wijkkerk De Open Hof;Westerkerk;Spectrum
;;15;Bijma, F.A.;15;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;2
;;16;van Oosteren, K.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hootsen, C.;18;0;0;0;3;1;0;0;0;2;1;1;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;18;Muggen, A.F.;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
;;19;van den Dikkenberg, M.W.B.;16;3;0;1;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;1;0;0;1;0;0;0;0;1;0
;;20;van den Broek, A.;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;21;van Kleef, D.;27;0;0;0;2;0;0;0;1;0;0;0;0;2;5;0;0;1;0;0;0;0;0;0;1;2;2;0;1;0;0;0;1;0;0;0;0;2;4;0;2;0;0;1
;;22;Ketelaar, A.B.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;23;Lodder, D.;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Kloes, H.A.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;6;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;1
;;25;van Veen, P.J.H.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0
;;26;Gerritsen, S.C.;12;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0
;;27;Veen, R.J.P.J.;10;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
3;Staatkundig Gereformeerde Partij (SGP);;;4635;91;70;120;50;174;206;55;40;205;114;21;112;63;89;107;204;214;196;84;224;175;70;73;183;64;93;92;119;84;111;101;94;53;72;13;67;87;109;54;109;169;135;69
;;1;Both, D.D.;2998;57;44;73;42;115;140;36;27;127;69;11;86;33;59;73;137;125;120;51;146;97;51;48;112;42;53;61;74;56;77;70;63;37;43;8;55;56;77;34;65;115;98;35
;;2;Verloop, C.M.;464;15;13;12;3;16;15;9;3;26;19;0;9;9;7;14;21;24;16;10;17;18;5;9;19;2;13;10;11;12;7;6;4;6;6;3;2;7;14;4;17;11;12;8
;;3;van Iperen, T.J.;102;3;0;2;0;7;0;0;3;7;3;3;0;2;1;4;2;11;3;2;6;10;1;0;1;2;4;2;2;0;4;6;1;0;1;0;0;2;2;0;0;3;0;2
;;4;Snoei, J.;62;0;0;1;1;2;1;0;0;3;2;0;2;2;0;1;3;2;4;1;4;2;4;2;6;0;2;1;1;0;3;0;3;1;0;0;0;0;0;0;0;5;0;3
;;5;Hooijer, J.W.;102;1;0;3;0;7;3;0;0;6;2;0;3;2;1;3;2;4;7;0;4;6;0;2;4;5;4;4;3;0;1;1;0;1;3;1;4;4;0;0;4;5;2;0
;;6;van Eckeveld, J.M.;56;0;2;5;0;2;2;1;1;2;2;1;0;0;1;0;3;5;6;0;3;4;0;0;1;0;0;0;3;0;1;0;4;1;1;0;0;0;1;0;1;2;0;1
;;7;Geurtsen, D.A.;107;4;0;5;0;3;0;2;0;1;1;0;4;0;1;4;6;2;2;1;7;7;2;5;3;3;2;1;9;1;4;2;0;1;3;0;1;3;1;1;7;2;4;2
