Verkiezing;;Gemeenteraad Amersfoort 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Amersfoort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Brink;Sporthal De Dissel;Sporthal De Dissel;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Gemeentehuis;De Observant;Sporthal Icoon;Sporthal Icoon;ABC-school De Bron;Adventkerk;Apostolisch Genootschap;Boogkerk;Burgemeester Molendijkflat;Café De Plank;De Faam;De Schaapskooi;Feefa;Fluor poppodium;Gymzaal Ariaweg;Gymzaal Dopheide;Gymzaal Dopheide;Gymzaal Lyceum De Amersfoortse Berg;Gymzaal Lyceum De Amersfoortse Berg;IKEA Drive-In;Kerkgebouw Het Brandpunt;Kindcentrum Vlinderslag;Martuskerk;Nieuw-Apostolische Kerk;Orthodoxe Parochie;Overseldert;Parkschool;Mobiel Stembureau Het Pluspunt;Prins Willem III-flat;Schoolgebouw de Baander;Schoolgebouw De Dubbelster;Schoolgebouw De Gondelier;Kindcentrum de Kei;Schoolgebouw De Zonnewijzer;Schoolgebouw GSG Guido vmbo;Schoolgebouw GSG Guido vmbo;Seniorenflat Otto Scheltus;Sociëteitsruimte Seniorenflat;Sporthal Rustenburg;Sporthal Rustenburg;Sporthal Zielhorst;Sporthal Zielhorst;Sint Ansfriduskerk;Undineflat;Verenigingsgebouw Juliana en Bernhard;A.K.V. Trefpunt Bokkeduinen;Westerkerk;Wijkcentrum Het Klokhuis;Zon en Schild;Woon- en zorgcentrum De Koperhorst;Houtrust;Restaurant de Hebberd;Schoolgebouw De Malelande;De Eemgaarde;Meander Medisch Centrum;Emmauskerk;Emmauskerk;Theater De Flint (Cultuurhuis);Station NS Hoofdingang;Da Vinci Eemland;bijgebouw Mevlana moskee;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Bergkerk;De Bron (kerk);Fonteinkerk;Holland Opera/ De Veerensmederij;Kerkelijk Centrum De Hoeksteen;Kerkelijk Centrum De Hoeksteen;Kerkgebouw De Lichtkring;Kerkgebouw De Lichtkring;Sint Joriskerk;Sint Joriskerk;Sportcomplex Amerena (beneden);Sporthal De Bieshaar;Sporthal De Bieshaar;Sporthal De Brink;Sporthal De Dissel;Sporthal Juliana van Stolberg;Sporthal Nieuwland;Sporthal Nieuwland;Leger des Heils;Leger des Heils;Oude Stadhuis;Hart van Vathorst;Hart van Vathorst;Mobiel stembureau 1;Mobiel stembureau 2;Mobiel stembureau 3
;;22;Scherbinski, T.R.;67;3;2;1;1;1;1;1;0;0;1;3;0;3;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;2;1;2;1;0;1;1;1;1;2;0;1;0;0;1;1;0;0;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;23;Fastl, J.;31;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Kroon, N.C.;36;2;1;0;0;0;0;0;2;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;3;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;25;Frerichs, N.;60;0;4;0;0;0;0;0;1;1;3;2;0;0;1;0;0;0;3;0;1;0;0;1;0;0;2;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;2;1;0;0;1;1;1;1;1;0;0;0;1;2;0;2;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0
;;26;van Eijk, C.J.M.;44;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;2;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;2;0;1;0;1;3;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0
4;CDA;;;7943;145;80;99;23;4;89;62;47;45;71;45;34;59;188;124;163;103;119;74;59;103;36;27;92;69;90;61;47;28;37;86;77;41;20;65;36;116;37;55;136;75;164;271;25;28;28;27;88;64;22;42;32;120;50;48;59;44;57;48;78;65;21;86;110;9;60;84;39;30;67;14;22;48;25;73;41;54;15;45;176;24;84;42;64;99;42;20;49;40;51;69;10;10;44;42;43;19;32;29;15;42;32;23;17;61;92;26;35;27;45;66;19;9;24;19;25;58;55;43;32;59;37;50;35;20;38;33;81;111;76;71;38;81;100;25;29;34;13;25;13;11;39
;;1;Paffen-Zeenni, M.;4660;103;49;64;12;4;58;43;33;24;44;30;21;47;51;28;40;60;89;37;32;58;24;16;49;47;53;29;28;20;27;54;43;28;12;43;27;74;28;35;80;49;19;111;16;17;14;16;63;38;15;30;16;75;26;34;42;28;40;30;46;44;13;54;75;2;32;40;27;21;46;11;17;26;18;50;34;32;13;29;132;19;51;17;36;56;34;13;26;27;37;40;8;7;25;34;32;16;26;21;14;29;29;20;14;21;20;19;22;22;32;43;10;5;18;14;16;38;45;36;24;42;27;34;25;14;25;18;14;25;56;34;25;48;60;14;16;23;7;15;9;8;20
;;2;ridder de van der Schueren, J.H.A.J.M.;552;7;6;5;0;0;5;3;2;2;2;2;0;0;31;21;29;9;5;5;5;2;0;0;10;4;7;11;2;2;3;5;1;2;1;3;0;7;2;2;12;4;24;40;0;2;2;0;8;6;1;1;3;7;2;0;4;4;6;4;9;4;1;4;2;2;1;4;1;0;3;0;3;1;2;4;1;4;0;2;6;1;3;2;4;5;3;1;3;0;0;4;0;0;4;0;0;1;2;3;0;1;0;1;0;6;14;1;1;0;7;3;4;1;0;4;1;3;0;1;2;7;0;0;1;1;2;4;13;13;0;3;1;8;7;2;2;2;1;4;1;0;7
;;3;Engbers, A.J.M.;258;6;3;6;0;0;4;1;0;1;8;2;0;0;1;0;0;2;4;4;2;3;3;4;1;1;0;1;1;2;1;2;2;2;0;2;0;6;3;1;5;6;0;1;2;0;0;2;1;1;1;2;1;2;4;1;2;1;1;1;0;3;1;1;3;0;2;27;4;4;1;0;1;2;1;2;0;1;0;2;9;1;5;1;6;6;1;0;2;2;1;3;0;0;5;0;2;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;4;2;1;0;2;1;1;0;3;4;3;1;2;1;3;2;4;3;0;0;0;1;0;0;1;0
;;4;van Koningsveld, B.;176;2;1;4;1;0;2;1;1;2;0;0;4;1;1;2;1;2;0;1;2;2;1;0;3;1;4;0;3;0;0;4;1;1;0;1;2;2;1;4;4;3;0;2;1;2;0;1;1;0;2;0;1;0;2;2;1;0;1;1;4;2;0;2;3;0;1;2;1;1;3;2;1;3;0;1;0;1;1;4;3;0;1;2;1;1;0;0;11;4;0;1;0;0;2;0;2;1;0;1;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;0;3;0;0;1;3;2;0;1;1;1;0;0;0;1;0;1;4;2;2;1;2;1;0;0;1;0
;;5;Noortman-Nieuwendijk, A.E.M.;980;5;4;5;1;0;6;6;3;5;5;4;0;4;66;48;67;8;5;8;4;14;2;3;13;10;9;7;5;1;1;4;9;2;1;7;2;6;2;3;12;5;70;78;4;1;3;1;6;5;1;4;8;7;4;2;2;2;2;4;7;1;1;11;10;1;9;3;3;1;6;0;0;3;2;6;1;6;0;3;10;2;14;11;7;16;2;5;5;1;2;6;0;1;2;2;0;0;0;0;1;3;2;0;0;24;36;1;1;1;3;12;2;0;2;0;2;3;3;1;1;1;0;8;2;0;1;1;34;50;6;10;2;12;9;2;2;0;1;1;2;0;2
;;6;den Ouden, A.J.W.;159;1;1;0;1;0;4;0;1;3;1;1;2;0;0;0;0;6;5;9;3;5;0;0;2;0;1;3;0;1;0;2;0;0;1;1;0;5;0;4;1;3;1;1;0;1;1;0;0;0;1;0;0;5;1;0;0;2;1;0;1;0;1;3;5;1;2;1;0;1;2;0;0;3;1;1;1;4;0;0;1;0;1;0;0;0;2;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;2;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;1;1;10;1;1;2;2;2;1;1;2;0;0;2
;;7;de Smit, J.A.D.;78;3;3;0;3;0;0;0;1;1;1;0;1;1;0;2;1;2;0;0;2;1;2;0;1;0;1;0;3;0;0;0;0;1;0;0;0;2;0;1;1;0;0;3;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;2;2;0;0;1;5;0;0;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;1;1;1;0;1;1;0;1;0;2;0;0;1;0;0;1;0;0;0;0;1
;;8;de Bruijne, C.D.;48;0;1;2;2;0;0;0;0;0;2;0;0;1;0;2;0;0;0;1;0;0;0;0;2;1;4;0;0;0;1;0;3;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1
;;9;van Swol, D.J.;19;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1
;;10;Versteeg, M.J.;210;4;3;3;1;0;3;2;3;1;5;1;3;0;3;2;2;2;4;2;1;2;0;0;6;2;2;2;1;1;1;7;6;1;1;4;3;2;0;4;4;1;0;0;1;2;2;1;2;5;0;1;2;0;2;3;5;4;1;4;3;2;2;3;4;1;4;1;1;0;2;0;0;2;0;1;0;3;0;1;4;0;1;1;3;2;0;0;0;2;1;5;0;0;0;1;1;0;1;1;0;4;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;2;0;2;0;3;1;1;2;1;0;1;1;0;0;0;0
;;11;van Roomen, M.T.;74;1;0;1;0;0;1;1;1;0;1;2;0;0;0;0;1;1;1;0;2;2;0;2;0;0;0;1;0;0;1;1;1;0;0;1;1;1;0;0;2;0;0;8;0;0;0;0;1;1;0;0;0;0;1;2;0;2;1;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;2;2;0;1;0;0;0;2;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;0;0;0;2;0;1;0;0;1
;;12;van der Bijl, J.F.;42;1;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;3;0;0;3;2;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;13;Vlot, T.J.;24;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;14;Pathmarajah, M.A.P.;34;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0
;;15;Merema, J.H.;24;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Aghina, S.J.L.;15;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Tolboom, J.G.;225;2;0;0;0;0;0;0;0;1;0;0;1;2;21;10;13;1;0;1;3;8;0;2;1;1;4;2;0;0;1;0;2;0;0;0;0;2;0;0;2;0;41;12;0;3;0;2;3;0;0;0;0;8;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;5;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;5;13;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;8;11;0;4;0;1;4;0;2;0;0;0;0;0;0
;;18;van Zeijts, M.H.G.;21;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Hollestelle, N.J.;21;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
;;20;van Westerlaak-Vinke, E.R.;46;1;1;1;0;0;3;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;1;1;2;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0
;;21;Schoemakers, H.;23;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Vos, L.;24;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0
;;23;Blom, T.J.M.;70;0;0;0;0;0;0;0;0;1;0;1;0;0;9;4;4;2;0;0;0;0;0;0;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;5;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;1;1;0;0;0;7;1;0;0;0;0;4;0;0;0;0;0;0;0;0
;;24;Traa, D.A.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Terlouw, A. Terlouw;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Koomans-Gernant, J.I.M.;32;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;27;Kok, A.;24;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;28;van Dijk, O.C.;19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0
;;29;de Maijer, C.;19;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Schins, A.L.J.E.;39;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;3;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
5;ChristenUnie;;;7305;88;148;120;28;15;109;116;69;52;70;47;37;90;50;37;53;129;113;51;32;44;49;35;42;57;51;42;31;28;35;120;94;27;15;42;45;114;39;40;179;86;31;151;59;32;25;38;94;67;27;14;9;119;51;92;30;43;42;90;60;100;29;90;98;15;76;87;49;28;87;15;28;37;20;61;44;33;6;75;224;18;104;29;39;67;54;18;64;53;59;55;17;22;25;46;39;32;38;22;17;49;22;16;27;26;28;27;16;21;50;46;13;11;23;21;23;40;94;70;22;52;46;41;42;37;47;64;22;64;65;32;35;74;73;14;20;42;26;53;14;17;17
