Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bethelkerk;Bethelkerk;Buurthuis Centrum;School 7 Bibliotheek;De Jutter;Buurthuis de Viskom;Odensehuis;Buurtvereniging 't Kraaiennest;Triade;Hortus Overzee;Brede school de Poolster;Buurtvereniging Elto;Dorpshuis Huisduinen;ATV Texelstroom;M.F.C. 't Wijkhuis;'t Tuselantschool;Winnubst;M.F.C. de Boerderij;M.F.C. de Boerderij;Baptistenkerk Het Lichtbaken;Sporthal de Brug;Sporthal de Brug;RK Willibrordkerk;Gymzaal Vogelzand;Gymzaal Vogelzand;RK Basisschool De Hofstee;RK Basisschool De Hofstee;De Verbinding;De Verbinding;De Vredeskerk;De Vredeskerk;De Vredeskerk;De Kampanje/Stadshal;De Kampanje/Stadshal;De Kampanje/Stadshal;De Draaikolk;De Draaikolk;De Draaikolk;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;M.F.C. 't Dorpshuis;De Albatros
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
Postcode;;;;;1781 KA;1782 KA;1781 LC;1781 BB;1781 CC;1781 TR;1781 WS;1782 XA;1782 BG;1782 SM;1782 JD;1782 AS;1789 AH;1784 EA;1784 EA;1783 GK;1783 HX;1785 JP;1785 JP;1785 SB;1785 BC;1785 BC;1786 AC;1788 MJ;1788 MJ;1788 VA;1788 VA;1788 WS;1788 WS;1785 BA;1785 BA;1785 BA;1781 AS;1781 AS;1781 AS;1784 BJ;1784 BJ;1784 BJ;1788 ES;1788 ES;1788 ES;1781 ZZ
4;PVV (Partij voor de Vrijheid);;;1328;36;38;35;20;40;53;26;40;25;19;17;47;16;32;56;45;41;27;35;34;25;19;46;36;44;37;26;22;26;22;36;44;14;11;17;35;27;25;28;38;64;4
;;1;van den Born, V.H.;908;23;30;22;9;34;42;19;30;19;18;11;36;12;23;32;37;31;19;23;25;17;11;25;25;30;21;14;13;14;17;28;29;12;8;13;24;24;16;15;24;32;1
;;2;Feeburg, F.;130;1;3;3;5;0;1;4;3;1;0;0;5;0;1;6;4;1;2;2;5;2;2;12;0;5;3;4;7;6;1;3;5;0;0;0;3;0;2;10;5;11;2
;;3;Brockholz, R.H.;22;0;0;3;0;2;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;1;2;2;0;2;1;0
;;4;Mulder, D.;155;7;3;2;4;1;4;2;4;1;0;2;1;3;4;9;2;4;4;6;3;4;4;7;9;5;9;5;1;5;1;2;9;0;1;0;1;0;5;3;5;13;0
;;5;Mulder, M.A.M.;59;0;2;1;0;2;3;1;0;1;0;3;4;1;3;5;1;2;0;2;1;2;1;0;0;3;0;2;0;0;1;3;0;1;0;2;6;1;0;0;1;4;0
;;6;Liefhebber, B.;54;5;0;4;2;1;3;0;3;2;1;0;1;0;0;3;1;3;2;2;0;0;0;2;2;1;4;1;1;1;0;0;1;1;0;2;0;0;0;0;1;3;1
5;D66;;;1410;33;24;16;30;22;30;29;44;48;65;14;31;59;31;45;77;54;29;30;29;15;15;25;43;42;22;20;41;44;34;29;42;23;37;20;31;31;23;34;54;40;5
;;1;Verhoef, J.P.;534;7;7;5;4;14;10;10;22;22;15;4;12;21;16;15;30;18;13;11;9;10;2;10;18;14;11;8;17;13;16;14;19;8;9;4;16;16;7;17;23;15;2
;;2;Meijer, J.;294;9;7;7;9;6;7;8;5;10;23;3;4;7;4;7;10;12;3;8;6;1;2;5;14;7;6;5;15;12;4;2;8;5;13;2;6;4;1;5;9;10;3
;;3;Post, A.J.J.;65;3;0;1;1;0;2;0;1;2;1;1;0;1;2;3;3;2;3;2;2;0;0;2;3;2;1;1;0;4;0;0;0;0;1;2;1;1;3;5;9;0;0
;;4;Milatz, S.T.M.;14;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0
