Verkiezing;;Gemeenteraad Haarlem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Haarlem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Het Stadhuis;Philharmonie;Zijlpoort;Stadsbibliotheek;Rosenstock Huessy Huis;Basisschool De Kring;Oud-Katholieke Kerk H.H. Anna en Maria;Activiteitencentrum Het Zaeltje van Rosehaghe;Speeltuin Klarenhof;Badhuis Leidseplein;Trefpunt 't Trionk;Pelgrimkerk;Tent Theemsplein;Tent Christiaan Huygensplein;Wijkcentrum Het Broederhuis;Wijkcentrum Oosterkerk;Tent Van Zeggelenplein;Gymzaal De Viersprong;Reinaldahuis;Tent Mohammed Hattastraat;Activiteitencentrum & Regiokantoor DOCK;Tent Zomervaart;Speeltuinvereniging Kindervreugd;Buurtcentrum de Hamelink;Waarderpolder;Eerste Christelijke Lyceum (ECL);OBS Bos en Vaart;Provincie Noord-Holland;Verpleeghuis Zuiderhout;Tent Spaar en Hout;HART Haarlem;Buurtcentrum De Tulp;Fonteinkerk;Koningkerk;Willem van Oranjeschool;Speeltuinvereniging Elba;Basisschool De Cirkel;Vrije school Kennemerland;De Goede Herderkerk;Wijkcentrum De Horizon;Tent Santpoorterstraat;Basisschool Ter Cleeff (Gymzaal);Haarlemse Korfbal Club;Ontmoetingscentrum De Schakel;Tent Elzenplein;Backstop;Gymzaal Liduinaschool;Tent Herman Heijermansplein;Schoterhof;Scouting Menno Simonsz;Speeltuin D.V.S.;Scouting Brigitta;Gymzaal De Dolfijn;Johan Limpershof;Stg. Wijkgebouw Hof van Eden;RK Basisschool Sint Bavo;Dienstgebouw Oude Kerk;Novacollege Zijlweg;Fablo Tennishal;Tent Duinroosplantsoen;Tent Beneluxplein;Tent Rozemarijn KDC;Wijkcentrum de Wereld;Speeltuin De Eenhoorn;Tent CBR;Wijkcentrum De Ringvaart;Tent Floris van Adrichemlaan;Basisschool Al Ikhlaas;VMG Haarlem;Da Vinci, Centrum van Ontmoeting;RK basisschool De Brandaris;De Molenburg;Stadsbibliotheek Schalkwijk;Basischool De Wadden;Tent NS Station;Publiekshal Raakspoort;Patronaat;Frans Hals Museum;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort;Badhuis Leidseplein;Wijkcentrum Oosterkerk;Activiteitencentrum & Regiokantoor DOCK;Provincie Noord-Holland;Koningkerk;Wijkcentrum De Horizon;Wijkcentrum de Wereld;Wijkcentrum De Ringvaart;Tent NS Station;Publiekshal Raakspoort
;;15;Smit, W.F.;14;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Goedknegt, M.K.;24;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;0;2;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;17;van der Vliet-Zakrzewska, E.D.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Kam, P.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;Eigenhuis, M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Soeteman-van Dokkumburg, H.;31;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;2;0;0;0;1;0;3;2;0;0;0;0;1;1;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;21;Wagenaar, M.T.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Beelen, J.F.T.M.;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Toet, A.J.;8;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;24;Wiersma, C.V.;10;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Visser, J.J.;15;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;26;Snoek, M.;68;1;0;0;1;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;1;6;2;4;0;7;1;0;0;0;0;4;0;0;1;2;4;0;1;2;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;2;2;1;0;0;1
6;SP (Socialistische Partij);;;2978;50;26;8;42;34;19;23;32;31;46;39;41;32;15;60;44;50;34;38;19;21;36;27;57;1;18;17;13;12;9;18;37;32;22;15;50;36;33;22;44;33;35;11;38;38;7;33;16;52;18;60;28;38;44;52;40;8;22;35;6;49;64;45;22;23;41;65;24;35;89;53;56;36;30;39;14;11;10;14;34;9;11;19;17;27;27;18;25;18;34;8;14;30;31;40;32;27;20
;;1;Özoğul-Özen, S.;1203;20;7;3;20;14;10;9;12;20;22;13;13;13;8;29;21;20;17;21;10;6;13;12;26;0;5;6;6;2;2;11;13;13;11;8;28;17;17;12;7;14;11;5;14;17;3;8;8;16;11;18;9;11;14;19;16;2;6;13;2;15;20;16;16;14;10;33;6;11;44;21;23;11;9;15;9;2;1;3;17;5;5;11;7;9;12;6;8;5;13;3;8;13;14;17;14;12;11
;;2;Kuin, R.M.;291;7;0;1;0;3;2;1;3;1;4;7;3;1;0;5;5;1;3;2;1;3;7;4;4;0;3;2;0;4;1;3;2;3;2;1;6;3;2;1;7;3;3;0;4;2;1;2;2;12;0;6;2;6;3;7;5;0;3;4;0;2;10;3;1;2;8;6;5;4;10;6;5;3;2;2;1;2;1;2;0;0;0;2;4;1;1;1;5;4;5;1;2;2;3;5;5;1;1
;;3;Remesar, M.J.A.;187;2;2;1;5;2;1;1;3;1;2;1;3;2;2;5;3;1;1;2;1;2;3;1;6;0;0;1;0;0;0;1;2;4;1;0;3;3;1;1;5;1;3;1;1;2;0;5;1;4;0;12;0;2;1;3;7;0;2;0;1;4;2;2;1;1;2;3;2;5;5;4;5;1;5;3;1;1;2;3;2;0;1;1;0;2;1;1;2;0;0;1;0;0;3;0;0;0;0
;;4;de Goede, M.C.J.;169;3;0;2;3;1;2;1;1;2;5;2;1;3;0;2;4;4;1;1;0;2;2;1;2;1;1;0;0;0;0;0;3;3;1;1;2;2;1;0;6;1;2;1;0;7;0;7;0;4;0;6;3;3;7;6;1;1;2;3;0;2;1;4;1;0;3;1;5;0;2;2;2;2;1;1;0;1;1;1;3;1;1;1;0;2;0;1;0;1;2;0;0;3;0;1;2;1;0
;;5;Roos, I.J.;182;2;4;0;3;0;0;3;3;2;3;1;3;1;0;2;1;5;0;2;0;3;1;0;4;0;1;2;1;0;1;1;0;1;0;0;5;2;2;0;5;4;3;1;0;1;0;4;0;1;0;2;1;1;1;4;4;0;1;3;1;1;9;4;0;0;4;2;3;6;9;1;3;3;3;5;0;2;0;0;2;0;0;0;1;4;2;1;1;1;5;1;0;1;2;4;1;5;0
;;6;Antonisse, R.A.;38;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;2;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;0;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;4;2;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0
;;7;Bloem, A.F.;58;1;0;0;1;0;0;0;1;1;0;2;1;1;0;0;0;2;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;2;0;1;1;4;2;3;0;0;0;0;0;1;0;1;3;1;0;0;3;1;0;0;0;0;1;2;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0;2;2;1;0;0;0;1;0;1;0
;;8;de Groot, R.P.;18;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
;;9;van der Krogt, R.;32;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;0;1;0;0;0;0;3;2;1;1;2;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
;;10;Garretsen, F.H.;13;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Jonkers, B.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;12;Moison, H.J.M.;31;0;1;1;0;0;1;0;0;0;2;0;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;13;Oushoorn, H.E.;28;2;0;0;2;0;0;0;1;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;2;0;0;1;3
;;14;Roosch, J.W.;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
;;15;Hoogstraten, R.J.;10;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;16;van der Pal, A.J.A.;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0
;;17;van Beers, A.M.L.;14;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
;;18;van Apeldoorn, E.B.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;Gerkens, A.M.V.;12;0;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Leijten, R.M.;654;11;7;0;4;13;1;7;7;4;5;10;8;8;4;14;6;15;10;8;6;3;9;9;10;0;2;3;4;2;3;2;10;5;5;4;3;7;8;3;9;9;10;3;16;8;2;5;3;9;5;11;9;9;17;9;5;5;6;8;2;12;17;12;3;2;9;15;2;8;15;14;15;11;7;8;2;1;2;3;9;3;2;2;3;7;10;6;4;4;3;0;4;8;5;11;8;4;3
7;Trots op Nederland (TROTS);;;1789;14;14;5;5;14;16;11;7;9;13;19;17;28;8;76;34;40;15;45;47;17;39;22;44;11;10;3;4;3;5;4;38;9;9;4;25;19;23;18;23;23;13;14;30;10;8;29;12;18;10;23;15;30;37;22;37;8;16;13;9;22;47;13;16;29;28;27;29;8;43;36;26;18;8;17;11;5;1;6;14;25;7;8;11;14;13;7;7;5;26;14;12;11;13;26;24;10;8
;;1;van den Raadt, A.P.D.;718;8;5;4;3;2;4;3;2;4;7;6;7;12;2;19;11;15;4;14;24;8;5;9;11;3;4;1;0;1;2;0;17;8;4;2;9;6;13;7;11;11;9;7;18;4;7;12;6;11;6;10;9;9;19;12;18;7;5;8;7;7;12;7;4;15;9;8;17;3;14;12;14;8;3;6;6;3;0;1;6;5;5;5;3;7;3;1;4;4;7;5;8;6;5;7;9;2;5
;;2;van Kessel, D.R.S.;232;2;4;1;1;5;3;3;2;0;0;4;5;3;1;3;2;8;1;3;8;0;4;5;5;2;0;0;3;1;3;1;2;0;0;0;3;4;3;8;3;4;3;4;7;4;0;4;2;1;0;6;5;3;5;4;3;1;4;2;2;3;2;1;1;1;1;2;4;2;3;2;4;2;0;4;1;0;0;1;1;1;0;3;1;0;2;2;1;0;3;0;1;0;4;6;1;1;1
;;3;Amand, J.J.L.;141;0;3;0;0;1;1;0;0;1;0;1;1;2;0;21;10;5;1;9;0;0;11;2;9;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;2;2;1;3;0;0;0;0;0;0;1;3;0;3;0;0;0;3;0;2;0;1;0;0;0;0;2;5;2;0;0;1;4;3;0;0;0;9;2;0;0;0;1;0;2;0
;;4;Schreurs, A.C.;58;0;1;0;0;0;2;0;0;0;1;1;0;8;0;2;0;0;0;2;1;0;0;0;1;0;2;0;1;0;0;1;2;0;0;0;1;1;1;1;0;0;0;0;1;0;0;3;1;0;1;2;0;2;1;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;2;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;2;0;0
;;5;Yerden, I.;237;0;0;0;0;1;5;0;3;1;0;1;1;0;0;2;2;2;3;6;8;5;6;1;6;2;0;1;0;1;0;0;5;1;2;0;2;3;1;0;2;6;0;0;1;0;0;1;0;0;0;0;0;2;1;0;4;0;6;2;0;5;26;2;6;6;6;10;2;2;18;2;0;2;0;4;3;0;1;0;0;17;0;0;1;1;1;2;0;0;1;5;0;5;0;2;5;5;1
;;6;Heesbeen - Schogt, F.P.;40;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;2;0;0;1;0;1;6;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0
;;7;Fontijn, D.R.L.P.;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;ter Horst, E.C.;61;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2;2;2;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;1;0;0;0;0;1;0;2;1;1;2;1;0;4;5;3;6;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0
;;9;Toepoel, O.J.;32;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1;2;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;10;van Wooning, M.L.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0
;;11;El Khadir, A.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Koning, C.M.E.;10;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;13;van Kol, A.T.J.;26;1;0;0;0;0;0;0;0;3;0;0;0;0;1;3;0;1;1;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Verhagen, S.T.A.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Tielenius Kruythoff, T.L.;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
;;16;van Trooijen, D.N.M.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Beukema, B.D.;14;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;18;Furth, G.;11;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Koenen, L.H.W.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;20;van Vliet, L.;13;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Meure, A.B.;44;0;0;0;0;0;0;0;0;0;1;1;0;0;0;21;1;1;0;0;0;0;1;2;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0
;;22;de Vries, P.B.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
