Verkiezing;;Gemeenteraad Alkmaar 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alkmaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau De Waag;Stembureau Kapelkerk;Stembureau Doopsgezinde Gemeente;Stembureau Tent Parkeerterrein AH XL;Stembureau Kantine Sporthal Oosterhout;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Buurthuis Overdie Ontmoet;Stembureau Wijkcentrum Oud Overdie;Stembureau Murmellius Gymnasium;Stembureau Tent Labotheek NWZ;Stembureau Tent Stationsplein NS;Stembureau Sociëteit K.B.O.;Stembureau Drafcentrum Alkmaar;Stembureau De Vrijheidskerk;Stembureau Gymzaal G. Metsulaan;Stembureau De Open Hof;Stembureau De Alkenhorst;Stembureau Gasfabriek;Stembureau Gymzaal Beethovensingel;Stembureau Buurthuis de Wachter;Stembureau Tent Vroonermeer (1);Stembureau Tent Vroonermeer (2);Stembureau Speeltuin OKB;Stembureau Wijkcentrum De Oever (1);Stembureau Wijkcentrum De Oever (2);Stembureau Gymzaal Stempelmakerstraat;Stembureau Leger des Heils;Stembureau De Rekere 2.0;Stembureau Scouting Graaf Daron;Stembureau Wijkcentrum Wijkwaard;Stembureau Lukaskerk;Stembureau Sporthal Alkmaar Noord (1);Stembureau Sporthal Alkmaar Noord (2);Stembureau de Blije Mare (1);Stembureau De Blije Mare (2);Stembureau Gymzaal De Vlieger (1);Stembureau Gymzaal De Vlieger (2);Stembureau Clubhuis Celeritas;Stembureau Wijkcentrum Daalmeer;Stembureau Tent Basketbalveld;Stembureau De Hofstaete;Stembureau Gymzaal Saturnusstraat (1);Stembureau Gymzaal Saturnusstraat (2);Stembureau V.V. Kolping Boys;Stembureau De Rietschoot;Stembureau Brandweerkazerne Koedijk;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis De Hoeksteen;Stembureau De Woeste Hoeve;Stembureau 't Wavertje;Stembureau Cafe 't Torenerf;Stembureau Het Rijperhuis;Stembureau Sporthal Oosterven;Stembureau Dorpshuis Onder de Boom;Stembureau SV West-Graftdijk;Stembureau 't Trefpunt;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Stadhuis;Stembureau Wijkboerderij Alkmaar;Stembureau Wijkcentrum Thuis in Overdie;Stembureau Tent Stationsplein NS;Stembureau De Vrijheidskerk;Stembureau Tent Vroonermeer;Stembureau Wijkcentrum De Oever;Stembureau De Rekere 2.0;Stembureau De Blije Mare;Stembureau Wijkcentrum Daalmeer;Stembureau De Hofstaete;Stembureau De Rietschoot;Stembureau Grote Kerk Schermerhorn;Stembureau Dorpshuis Onder de Boom;Stembureau Mobiel Bijzonder stembureau (1);Stembureau Mobiel Bijzonder stembureau (2)
;;18;Veerman, J.W.;10;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;van Diepen, P.J.M.;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
;;20;van Steenbergen, A.M.;48;2;2;1;1;0;0;0;0;1;1;2;1;3;0;1;1;0;1;0;0;0;0;3;1;0;0;1;2;1;3;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2;0;1;1;0;1;1;0;0;1;2;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;21;Doets, P.M.;89;9;2;1;1;5;0;1;0;0;0;9;4;5;2;2;2;0;3;1;0;6;1;0;1;1;0;0;0;4;0;1;2;1;0;0;1;1;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;1;0;1;0;1;0;0;0;1;0;0;1;4;2;1;0;0;1;0;0;1;0;0;0
;;22;Mulder, K.;27;0;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;1;1;0;2;0;0;0;0;1;0;0;0;0;1;0;0;1;3;0;0;0;0;2;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;CDA;;;3453;51;28;42;19;75;9;22;44;17;9;40;50;23;34;42;58;15;26;64;5;66;20;22;24;32;19;11;28;22;27;14;43;15;12;10;27;34;9;10;8;39;29;30;40;58;37;25;20;190;104;52;85;168;104;149;108;34;40;37;36;24;8;43;26;49;24;53;20;8;11;55;41;51;44;32;15;70;25;65;15;50;25;11;13;56;81;20;7
;;1;Postma, G.W.J.;1705;44;21;32;15;59;8;13;34;11;7;30;38;17;23;27;40;6;17;45;5;44;18;13;14;29;15;7;16;14;20;6;37;8;8;8;12;26;7;9;6;30;18;20;23;35;26;16;13;21;32;11;3;11;16;22;22;6;4;31;26;15;3;35;16;40;17;31;11;5;8;2;3;34;35;26;11;50;15;52;10;25;16;7;12;4;9;14;4
;;2;Ruiter, S.R.F.;527;3;1;1;1;2;0;1;0;2;0;2;0;0;0;3;2;2;2;1;0;3;0;0;1;1;1;2;0;0;0;2;2;1;0;0;0;0;0;0;0;1;1;2;9;6;0;0;1;22;41;25;69;138;17;28;27;13;30;1;1;0;0;2;1;2;1;0;0;0;0;4;8;1;2;0;0;0;2;2;2;2;1;0;1;7;20;1;0
;;3;van den Brakel - Visser, Y.;247;2;3;1;0;5;0;6;6;3;0;4;8;1;6;8;6;3;3;10;0;10;1;3;2;1;1;1;1;4;1;1;0;3;1;0;6;3;1;0;1;4;3;3;5;5;5;5;3;3;5;1;0;2;3;2;1;2;0;0;2;3;1;3;3;5;0;3;1;1;3;1;2;6;5;2;2;11;4;4;3;9;1;3;0;0;0;1;0
;;4;Jonk, F.H.J.;490;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;123;15;5;12;1;47;65;45;9;1;2;0;0;1;0;0;0;4;0;0;0;0;43;25;1;0;1;1;0;0;0;0;1;0;0;0;40;34;2;1
;;5;Kuyper, G.P.J.;52;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;3;3;6;0;2;0;5;0;0;0;0;1;0;2;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;0;2;0;0;0;2;1;0;0;0;0;0;0;1;1;5;0;3;0;0;1;1;0;0;0;0;0
;;6;Schotten, T.C.;57;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;2;1;0;1;0;2;0;1;3;0;0;0;4;3;0;1;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;2;7;1;0;0;0;0;3;1;0;0;2;1;0;0;8;1;0;0;0;0;1;0
;;7;Duin, K.;43;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;1;0;4;1;0;1;0;2;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;4;4;0;0;0;0;1;0;0;0;1;0;0;0;3;3;0;0;0;1;0;1
;;8;Jonk, I.M.M.;77;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;15;0;4;0;2;4;8;5;0;1;0;1;0;0;0;0;0;0;2;0;1;0;3;2;0;1;0;0;0;1;0;0;2;0;0;0;4;9;0;0
;;9;Oxfoort - van der Mijl, P.A.;33;0;1;1;0;0;0;0;0;0;0;1;3;0;0;1;3;0;0;1;0;2;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Nagengast, J.P.;25;0;0;0;0;5;0;0;0;0;1;0;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;11;van Ollefen, P.;11;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;12;Poel, P.G.M.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;9;17;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
;;13;Groeneveld, J.H.;18;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0
;;14;Vlaar, A.E.M.;21;1;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;8;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Rietveld, P.G.;10;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Bijl, P.T.;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Burg, J.A.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;5;9;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;18;Wiebosch, S.K.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Groot, J.P.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;20;Plukker, E.W.A.;23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
;;21;Zeijlemaker - in 't Veld, I.M.A.;33;0;1;3;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;2;3;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
7;B.A.S.;;;5002;132;63;89;44;153;49;79;119;97;64;68;56;108;86;39;101;32;46;80;19;149;76;89;74;88;77;66;84;71;97;63;90;62;29;28;64;58;40;38;36;110;101;88;74;51;64;78;59;21;80;11;17;18;36;56;26;20;8;46;53;66;29;34;28;37;17;40;32;17;14;10;10;94;82;88;39;44;66;92;43;51;54;47;22;10;12;2;2
;;1;Bijl, B.;1878;39;26;41;17;42;16;21;26;14;24;26;23;37;30;18;34;10;17;18;8;60;30;37;30;42;25;26;38;26;31;26;36;27;16;13;27;27;13;14;15;56;48;45;30;24;23;34;36;9;42;5;8;13;11;13;9;5;2;15;21;10;12;11;13;22;7;23;8;8;8;3;2;30;32;15;13;13;18;33;18;24;25;15;9;3;6;2;0
;;2;Haverlag, R.M.;186;2;2;4;2;1;0;4;5;0;4;5;3;7;13;3;3;0;1;20;0;4;1;4;2;4;11;4;3;2;3;1;2;2;0;0;0;1;1;0;1;1;1;4;3;1;3;2;4;2;2;0;0;0;1;2;0;1;0;1;3;0;0;1;3;2;0;1;0;0;0;0;0;1;0;0;1;2;5;3;0;3;6;0;2;0;0;0;0
;;3;Jellema, J.C.L.L.;960;41;13;21;7;37;9;16;8;4;4;13;7;30;22;3;22;11;6;16;4;32;13;19;22;9;0;10;17;15;31;10;25;12;3;5;19;16;9;9;6;25;25;14;15;9;12;16;3;1;14;3;2;1;8;8;1;7;3;14;8;3;5;2;7;5;6;7;9;3;1;1;2;22;9;7;8;11;20;18;12;8;7;16;4;0;1;0;1
;;4;Bilbal, B.;561;6;0;1;4;33;8;15;58;74;10;3;8;5;4;5;7;2;9;0;2;3;6;8;4;1;10;5;9;6;5;7;2;3;3;2;1;4;4;1;0;4;2;1;2;1;1;3;6;0;3;0;1;0;0;0;0;2;0;1;11;46;3;6;0;1;0;3;2;0;2;0;0;5;20;60;4;6;5;11;5;3;1;1;1;0;0;0;0
;;5;Dubois, D.F.M.;179;4;0;0;1;7;0;3;2;0;3;4;0;1;1;1;3;2;1;1;0;7;2;2;2;4;3;0;2;2;5;5;5;6;0;3;3;4;5;6;4;9;5;6;0;2;4;2;1;2;3;0;0;0;1;0;1;0;0;0;1;2;1;1;1;0;1;3;4;1;0;1;1;1;1;0;2;0;5;0;1;2;3;6;1;0;0;0;0
;;6;Visscher, P.;131;4;2;2;0;4;2;3;0;1;7;1;6;6;4;0;3;2;1;2;1;4;2;3;3;1;2;1;1;2;3;0;3;0;1;1;2;1;1;0;2;1;2;2;1;3;7;5;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;8;1;1;1;2;0;0;4;1;1;0;0;0;0;0
;;7;Hellemons - Pilon, M.C.;93;1;0;1;0;2;0;1;1;0;1;3;0;2;1;0;7;1;0;5;0;19;2;1;0;1;1;1;1;0;1;2;1;1;0;0;0;0;0;0;2;2;1;5;3;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;3;2;1;0;0;2;0;0;0;0;2;3;0;2;1;0;0;0;0;2;0;0;0;0;0;0
;;8;Bieman, R.;125;0;4;1;0;2;2;2;0;0;1;2;0;0;0;0;2;0;1;1;0;1;1;4;2;4;10;10;2;5;4;1;0;0;0;0;1;0;0;3;0;3;2;1;7;5;3;2;0;1;3;0;0;0;0;0;0;0;1;0;1;0;0;2;0;3;0;0;0;1;0;0;0;4;0;0;1;4;0;11;3;0;1;0;0;0;0;0;0
;;9;Zonderhuis, M.;41;4;0;1;3;2;0;2;0;1;1;0;0;2;2;0;1;1;0;0;0;0;0;2;3;0;1;0;0;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0
;;10;Cevat, R.;18;0;1;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;11;Meijer, J.;127;8;2;9;2;5;2;3;2;0;1;4;4;5;0;1;4;0;0;1;0;2;1;0;1;4;2;0;1;0;3;1;1;0;1;2;1;0;0;1;1;0;1;1;0;0;2;6;1;0;2;0;1;0;0;0;0;0;0;6;2;1;0;3;0;0;0;0;0;0;2;0;0;12;4;1;1;1;0;1;1;0;1;0;2;0;0;0;0
;;12;Hoogland, C.J.;19;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Bleeker, J.J,;73;1;1;0;0;1;0;1;2;0;1;1;0;2;0;0;0;0;0;3;2;0;4;0;0;0;6;0;0;2;1;2;2;0;0;2;1;0;2;0;3;1;1;2;1;1;4;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2;3;0;0;0;0;2;0;0;0;0;0;1;1;2;4;0;2;0;0;0;1
;;14;Lam, W-F.T;58;0;0;0;2;3;0;0;2;0;2;0;0;3;0;2;0;2;8;1;0;4;0;0;1;2;0;4;2;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;3;0;0;0;2;0;0;0;0;0
;;15;Stouthamer, H.J.;13;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;16;Haverlag, R.;9;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Vendel, G.L.;47;1;0;2;0;3;0;0;3;1;0;0;1;1;0;0;3;0;0;0;0;2;0;2;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;2;1;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;4;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0
;;18;van der Meulen, E.;52;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;2;1;0;1;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;1;0;7;1;0;0
;;19;Geerlings, R.W.;86;0;0;0;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;3;12;31;13;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0
;;20;de Boer, P.;18;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;21;Dieke, R.A.;84;6;7;0;2;2;4;2;1;0;1;1;0;2;1;1;2;0;0;1;0;4;4;2;2;6;0;1;3;0;7;0;1;3;0;0;2;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;3;0;1;0;0;0;0;0;0;0
;;22;Houdijk, R.J.J.;11;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Beenken-van Erkel, A.C.M.;6;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;de Rover, F.;10;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Telleman, A.J.M.;9;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Steeman - van Rems, C.M.;24;2;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0
;;27;Busch, J.;4;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Tanielian, J.;19;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;29;Versteeg, A.;26;1;2;3;0;3;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;30;Lover - Busch, M.G.;23;2;0;0;0;2;0;0;0;0;1;1;0;1;0;0;1;1;0;2;0;0;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van den Bosch, E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Leijden, B.;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;33;Bijl, K.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
