Verkiezing;;Gemeenteraad Ermelo 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ermelo;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0233;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Maranathakerk;Chr. Ger. Kerk;Gemeentehuis;Rehobothkerk;Sporthal Dindoa;De Baanveger;Weth. Balverszaal 1;Sportcentrum Calluna;De Oude School 's Heeren Loo;Ons Huis;RK Kerk;Weth. Balverszaal 2;Sporthal Triade;SmdB Speulderbrink;De Westerkerk;Proson, restaurant bon appétit;Gemeentehuis maandag;Gemeentehuis dinsdag;RK kerk maandag;RK kerk dinsdag;Westerkerk maandag;Westerkerk dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;21;22;23;24;25
Postcode;;;;;3851 XR;3851 XA;3851 NT;3851 LH;3853 PT;3851 CP;3853 PR;3851 BC;3853 HD;3853 LN;3852 XB;3853 PR;3852 ZX;3852 NH;3853 JK;3851 ZH;3851 NT;3851 NT;3852 XB;3852 XB;3853 JS;3853 XB
;;19;Spoelstra, F.;15;1;0;0;1;0;0;0;0;1;0;0;1;0;1;4;0;0;1;0;0;3;2
;;20;Aerts, J.;12;0;0;0;0;0;0;4;1;1;2;0;0;0;0;1;0;1;0;1;1;0;0
;;21;Selles-ten Brinke, N.T.;40;2;1;4;3;0;0;2;3;2;0;2;0;3;1;6;2;1;2;0;0;1;5
4;BurgerBelangen Ermelo;;;803;41;74;57;32;17;33;19;33;40;93;48;27;53;29;43;29;19;46;12;14;10;34
;;1;Wilhelm, J.;422;24;36;33;17;12;18;11;9;29;39;24;15;31;19;19;19;12;22;2;8;4;19
;;2;Brouwer, A.J.;85;3;6;1;1;0;6;1;3;1;29;4;4;2;1;4;1;5;2;4;2;4;1
;;3;Verweij, E.J.R.;30;1;1;2;1;0;0;3;3;0;1;1;3;1;0;3;0;0;6;0;2;0;2
;;4;Heijmans, N.M.;158;9;23;14;7;3;4;2;12;7;9;11;4;8;7;10;4;2;9;2;2;0;9
;;5;Walter, J.E.;70;2;3;4;5;2;3;2;5;1;14;7;1;4;0;4;5;0;6;0;0;1;1
;;6;Vogelsang, W.;38;2;5;3;1;0;2;0;1;2;1;1;0;7;2;3;0;0;1;4;0;1;2
5;Staatkundig Gereformeerde Partij (SGP);;;1569;45;80;96;134;64;99;23;117;55;194;47;50;74;170;64;57;37;43;16;37;24;43
;;1;van der Velden, L.A.;1009;36;52;56;84;42;54;15;64;33;137;37;29;51;108;44;28;30;25;12;28;16;28
;;2;Stam, P.W.;157;1;10;8;17;6;8;1;11;7;15;5;6;2;22;5;13;0;5;2;4;4;5
;;3;Heij, R.;105;2;4;14;9;5;15;1;6;1;14;0;6;7;5;3;5;0;3;0;0;2;3
;;4;Koetsier, G.;40;0;2;2;9;0;2;0;9;1;2;2;0;1;3;0;1;0;2;0;1;0;3
;;5;Roestenburg, G.C.J.;52;0;2;5;4;0;7;1;10;0;3;0;2;3;1;2;3;3;3;0;2;1;0
;;6;Zoeteman, J.J.;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;1
;;7;van Wingerden, H.;31;0;1;2;1;0;4;0;1;0;0;2;2;5;12;1;0;0;0;0;0;0;0
;;8;Lobbezoo, J.;8;0;2;0;3;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Timmer, G.;10;0;1;1;0;0;0;0;0;2;2;0;1;0;1;0;1;0;1;0;0;0;0
;;10;Heres, J.;10;1;0;1;0;0;0;1;3;0;0;0;0;2;0;1;0;1;0;0;0;0;0
;;11;van Dalfsen, L.;10;0;0;0;2;3;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1
;;12;van Leeuwen, M.;7;0;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0
;;13;Bleijenberg, T.;9;2;0;0;1;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;14;Bouwers, A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0
