Verkiezing;;Gemeenteraad Beuningen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beuningen;;;;;;;;;;;;;;;;;;;;
Nummer;;0209;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeetehuis Beuningen;Tennisclub De Linden;Droom! Beuningen;Scouting Beuningen '76;Korfbalvereniging NAS;Voetbalvereniging Ewijk;MFA 't Hart Ewijk;Dorpshuis De Kloosterhof;Muziekcentrum ULTO;Scouting Sint Andriesgroep Weurt;Dorpshuis De Lèghe Polder;Sporthal De Tinnegieter;Ontmoetingscentrum De Paulus;Theater de Molen Beuningen;Gemeentehuis Beuningen Early Voting maandag;Ontmoetingscentrum De Paulus Early Voting maandag;Gemeentehuis Beuningen Early Voting dinsdag;Ontmoetingscentrum De Paulus Early Voting dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;9;10;11;12;13;15;20;101;115;201;215
Postcode;;;;;6641 AE;6641 KH;6641 SZ;6551 DR;6641 TZ;6644 CH;6644 EA;6551 EB;6645 AD;6551 ZZ;6641 DC;6641 DH;6645 BT;6641 BK;6641 AE;6645 BT;6641 AE;6645 BT
;;8;Buiter, S.;13;0;0;2;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0
;;9;van Ooijen, H.;17;0;1;2;0;1;0;2;0;0;0;1;0;0;0;9;0;1;0
;;10;Bruning, C.J.;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;11;Jongkind, J.W.;29;1;1;1;0;0;4;13;0;0;2;3;0;1;0;1;0;2;0
;;12;Post, A.J.;4;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
;;13;Degen, T.H.H.;13;0;2;1;1;1;1;1;0;1;1;0;2;1;0;0;1;0;0
7;Partij van de Arbeid (P.v.d.A.);;;510;24;30;33;21;17;23;26;38;10;16;67;62;20;20;38;12;38;15
;;1;Versluijs, S.;232;17;9;16;12;10;5;14;19;5;8;16;25;15;6;13;10;18;14
;;2;Crezee, H.J.;62;1;6;0;3;4;0;3;3;0;1;12;9;0;6;10;0;4;0
;;3;Jacobs, A.F.;17;0;3;2;0;0;1;0;0;1;1;3;0;0;0;1;0;5;0
;;4;Jissink, K.;123;4;7;11;3;1;14;8;11;4;1;18;14;4;4;9;2;7;1
;;5;Smith, E.C.;3;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
;;6;Bronsema, E.R.;17;1;1;2;1;0;0;0;2;0;0;4;4;0;0;0;0;2;0
;;7;Statema, L.S.C.;12;0;2;0;1;0;0;0;1;0;0;5;2;0;0;1;0;0;0
;;8;Elvers, J.W.H.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
;;9;Repkes, W.M.M.;16;0;2;1;1;1;0;1;1;0;0;2;3;1;3;0;0;0;0
;;10;Elvers-van der Marck, C.J.M.T.;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
;;11;Dekker, A.;8;1;0;1;0;0;0;0;0;0;0;4;0;0;0;1;0;1;0
;;12;Goeman, J.G.M.;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
;;13;van Ingen, C.;9;0;0;0;0;0;1;0;1;0;3;2;0;0;0;2;0;0;0
