Verkiezing;;Gemeenteraad Westland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Naaldwijk Gemeentehuis Verdilaan 1;Naaldwijk Gemeentehuis Verdilaan 2;Naaldwijk Gemeentekantoor Ln vd Glazen Stad;Naaldwijk Basisschool de Regenboog;Naaldwijk Bernadetteschool;Naaldwijk Brandweerkazerne;Naaldwijk De Oude Kerk;Naaldwijk Fusica voormalige dansschool;Naaldwijk Gymzaal de Boemerang;Naaldwijk Gymzaal Wollegras;Naaldwijk Ontmoetingskerk;Naaldwijk Partycentrum De Binnenhof;Naaldwijk Theaterloods;Naaldwijk Wijkcentrum Hooge Hasta;Honselersdijk Basisschool De Hoeksteen;Honselersdijk De Hunselaer;Honselersdijk SV Sosefhal;Honselersdijk Zalencentrum Hemelsblauw;Maasdijk Dorpskerk;Maasdijk Wijkcentrum Prinsenhof;'s-Gravenzande Bibliotheek;'s-Gravenzande ISW Gasthuislaan;'s-Gravenzande Noorderkerk;'s-Gravenzande Prins Willem-Alexanderschool;'s-Gravenzande Sportlokaal Oudeland;'s-Gravenzande voormalig Gemeentekantoor;'s-Gravenzande Westlandhal;'s-Gravenzande Wijkcentrum Larix;'s-Gravenzande Zalencentrum De Brug;'s-Gravenzande Zalencentrum De Kiem;'s-Gravenzande Zwembad Maesemunde;Heenweg CBS De Kameleon;Monster Ontmoetingscentrum de Haven;Monster de Noviteit;Monster Fata Morgana;Monster Sporthal de Wielepet;Monster Sportpark Polanen;Monster Verenigingsgebouw De Hoeksteen;Monster Het Westerhonk;Ter Heijde Dorpshuis Het Vrondel;Poeldijk Basisschool  De Nieuwe Weg;Poeldijk Basisschool Verburch-hof;Poeldijk de Veiling;Poeldijk Vrienden Partycentrum;Wateringen Hofboerderij;Wateringen Ontmoetingsplek Joop;Wateringen Ontmoetingsruimte De Vang;Wateringen Parochiezaal De Kolenkit;Wateringen Sportvereniging VELO;Wateringen St. Jozefbasisschool;Wateringen 't Knooppunt Scouting;Wateringen Wijkcentrum Terra Nova;Kwintsheul Basisschool Andreashof;Kwintsheul Dorpshuis Kastanjehof;De Lier Basisschool Prins Willem-Alexander;De Lier Bibliotheek / De Viermaster;De Lier De Achtsprong (ingang Berkenlaan);De Lier Partycentrum 't Centrum 1;De Lier Partycentrum 't Centrum 2;De Lier Scouting;De Lier Sportcentrum Vreeloo 1;De Lier Sportcentrum Vreeloo 2;De Lier Wijkcentrum 't Anker;Mobiel Bijzonder Stembureau Careyn;Mobiel Bijzonder Stembureau Pieter van Foreest;Naaldwijk Gemeentehuis Verdilaan 1 MA;Naaldwijk Gemeentehuis Verdilaan 1 DI;Honselersdijk Zalencentrum Hemelsblauw MA;Honselersdijk Zalencentrum Hemelsblauw DI;Maasdijk Dorpskerk MA;Maasdijk Dorpskerk DI;'s-Gravenzande Zalencentrum De Kiem MA;'s-Gravenzande Zalencentrum De Kiem DI;Heenweg CBS De Kameleon MA;Heenweg CBS De Kameleon DI;Monster Ontmoetingscentrum de Haven MA;Monster Ontmoetingscentrum de Haven DI;Ter Heijde Dorpshuis Het Vrondel MA;Ter Heijde Dorpshuis Het Vrondel DI;Poeldijk Vrienden Partycentrum MA;Poeldijk Vrienden Partycentrum DI;Wateringen Wijkcentrum Terra Nova MA;Wateringen Wijkcentrum Terra Nova DI;Kwintsheul Dorpshuis Kastanjehof MA;Kwintsheul Dorpshuis Kastanjehof DI;De Lier Partycentrum 't Centrum 1 MA;De Lier Partycentrum 't Centrum 1 DI
;;8;Hartman, P.A.H.;126;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;11;8;7;8;24;15;2;20;2;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;10;0;0;0;1
;;9;Heijl, C.D.M. Heijl;32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;1;1;2;3;0;1;1;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;10;Flinterman, G.C.;18;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;11;van der Meer, J.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;2;0;2;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Klerk, J.P.C.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;1;5;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;13;van den Berghen, T.;16;1;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Zwinkels, J.J.;141;3;0;1;2;5;1;0;0;1;1;1;1;2;1;1;1;1;1;1;0;7;9;1;16;2;3;1;2;15;1;4;1;2;0;0;6;3;0;0;0;0;1;0;3;0;0;0;1;3;1;0;0;3;1;1;1;0;0;2;0;2;0;0;0;0;0;2;0;1;0;0;3;6;0;0;5;4;0;0;2;0;0;0;0;0;0;2
;;15;Riezebos, G.;70;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;3;12;6;10;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8
;;16;Crijns, K.P.L.;38;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0;6;4;2;1;7;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;3;0;0;0;0
;;17;Elema, M.;21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;1;1;1;2;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;18;Hoogkamer, J.E.;40;0;0;0;10;1;5;3;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Hofman, G.S.;20;0;0;0;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Varekamp, M.J.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;Loots, W.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;22;Ouwendijk, P.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Vranken, J.J.H.;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Hofman- Bakker, M.H.;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;25;Storm, A.;22;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;4;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
;;26;Kling, A.J.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Zeijl, C.H.Q.;52;1;0;0;0;0;0;0;0;0;0;0;3;1;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;0;0;6;1;16;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;4;0;0
;;28;Valstar, P.J.;64;4;1;2;2;1;1;1;0;0;1;1;0;0;0;1;1;0;4;2;0;3;4;0;2;2;3;3;1;2;3;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0
;;29;Zuyderwijk, S.J.N.;58;0;3;5;3;9;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;2;1;0;5;1;0;0;1;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;2;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;4;1;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;ChristenUnie-SGP;;;1977;25;9;10;16;13;17;6;1;7;22;30;22;8;10;7;11;3;26;68;34;121;32;25;34;39;31;25;64;97;71;25;22;117;8;12;44;23;66;21;7;10;15;13;21;17;21;7;24;3;6;5;12;13;19;20;8;12;13;17;6;11;3;2;2;3;18;33;4;5;18;23;49;99;1;8;31;82;3;11;8;8;15;14;2;6;6;21
;;1;van Harmelen, A.;845;12;5;4;4;6;5;3;1;2;9;8;11;4;6;1;7;1;11;20;6;59;14;11;18;15;18;6;43;52;34;16;8;44;1;3;12;12;31;7;2;6;4;7;3;6;6;2;14;0;3;2;8;7;10;8;6;8;6;5;1;8;1;1;2;3;11;19;1;2;3;6;21;33;0;3;13;31;1;7;3;1;10;4;1;3;3;10
;;2;Koen-Snijders, B.;323;3;0;2;5;0;4;2;0;1;3;4;2;0;1;2;2;2;11;6;2;9;8;3;8;2;6;3;4;9;8;3;8;27;2;0;13;6;19;6;3;2;2;3;4;2;7;1;3;2;0;2;1;2;1;1;0;1;3;1;2;1;0;0;0;0;3;4;2;3;2;6;7;16;0;2;6;18;0;0;4;1;0;2;1;0;2;4
;;3;van der Wel, G.J.;59;2;0;1;0;0;2;0;0;3;0;3;1;0;0;0;0;0;0;0;1;7;1;5;2;0;0;2;2;4;4;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;1;0;0;0;0;0;0;0;2;0;0
;;4;van Spronsen, A.;53;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;2;1;0;2;4;0;2;0;0;1;4;0;3;0;0;1;0;2;1;0;0;0;1;0;2;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;8;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;5;Lubach, P.E.;21;0;0;0;0;1;1;0;0;0;2;0;3;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;6;Muilwijk-van der Hoeven, J.;80;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;2;2;0;0;0;3;1;3;2;1;0;0;10;5;1;1;1;1;2;2;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;6;13;1;3;0;1;0;0;0;0;0;1
;;7;Ros, D.;52;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;6;0;6;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;7;0;0;0;0
;;8;Doornekamp, H.;52;2;2;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;1;3;0;0;0;0;0;1;3;2;1;0;0;3;0;0;0;0;0;0;0;0;5;1;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;0;5;0;0;0;0;0;0;1;2;1;0;0;0;0;2
;;9;van der Wel-Kuipers, C.;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;1;2;0;0;1;5;5;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;10;Koen, P.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Verburg-Dalfour, N.M.;25;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;5;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
;;12;Udofia-van Harmelen, R.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;1;0;4;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Bloeme, A.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;IJzelenberg, C.;54;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;9;9;4;1;0;0;0;2;0;0;1;0;0;2;3;0;0;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0
;;15;Duindam-Otto, J.C.;39;2;0;0;0;0;2;0;0;0;1;0;2;0;0;0;1;0;0;15;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;16;Aarnoutse, I.A.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;17;Bulsing, R.V.;64;0;0;2;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;2;9;2;0;0;5;1;1;1;5;6;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Anker, J.W.;22;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0
;;19;Zwarts, G.;23;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;2;0;3;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
;;20;van der Heijden, B.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Hofman, P.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Ruijgrok, L.A.G.;24;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;23;Voogd, R.N.;11;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Meer, H.N.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van den Berg, P.;16;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;26;Pijl, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;27;Otto, M.;21;1;0;0;0;0;0;0;0;0;0;6;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Voois, G.J.;9;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van Onselen, J.;14;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Dam, J.M.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;31;Snijders, L.K.;34;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;2;1;0;0;4;0;1;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;5;0;0;0;0;1;0;0;1;0;0
7;GROENLINKS;;;2165;33;27;22;34;33;30;6;5;6;36;16;37;16;11;10;44;3;50;10;16;66;25;18;37;12;20;34;27;51;28;22;8;32;22;18;58;59;23;59;25;36;30;19;25;49;52;52;53;49;44;9;57;10;40;23;20;10;23;20;19;23;19;3;1;1;36;42;9;15;2;4;20;46;0;0;11;29;5;18;11;13;21;43;11;14;12;27
;;1;Plomp, D.;675;8;10;3;9;11;5;3;1;2;9;7;14;5;5;0;12;1;14;2;4;20;6;8;12;1;4;15;8;12;11;6;4;9;5;2;12;13;8;14;9;16;17;10;9;14;17;16;13;6;12;1;12;1;10;14;11;4;11;10;13;13;6;0;0;0;14;18;0;5;0;2;2;8;0;0;4;5;2;4;6;5;7;18;4;6;6;19
;;2;Wesstein, P.J.;124;5;1;3;5;1;1;0;1;0;2;2;5;2;4;3;11;0;14;0;1;2;1;1;2;1;1;1;5;1;1;0;1;0;0;0;0;1;2;0;0;0;3;2;4;0;1;2;3;1;0;0;4;0;0;0;0;1;2;1;0;0;1;0;0;0;1;2;4;2;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;2
;;3;Zuiderwijk, S.;115;2;1;1;0;1;0;1;0;0;2;1;0;0;0;0;3;0;4;0;3;1;1;0;0;0;0;1;0;2;0;0;0;0;2;1;1;0;1;6;1;0;1;2;1;3;6;7;4;5;2;2;3;3;10;1;0;0;0;0;0;1;1;0;0;1;4;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;3;6;6;0;1
;;4;Boon, J.C.B.;68;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;5;8;0;9;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;1;0;0;0;1;1;0;2;0;1;0;14;0;0;0;3
;;5;Zwart, J.;481;4;4;6;7;6;7;0;1;1;11;2;7;5;2;3;7;1;6;0;1;11;4;2;3;5;5;5;4;5;5;4;2;6;5;2;12;12;3;11;3;8;3;2;4;21;20;23;22;27;19;3;26;4;10;4;5;3;6;4;4;2;3;1;1;0;5;8;0;2;1;1;5;11;0;0;2;9;0;4;2;3;9;0;0;2;2;0
;;6;Gispen, Y.C.;99;2;1;1;3;5;2;1;0;0;2;1;2;1;0;1;3;0;7;2;4;0;0;0;0;0;0;1;1;3;2;0;0;2;2;0;1;1;1;2;1;5;0;1;1;3;0;1;0;1;2;0;1;0;1;2;0;0;2;1;0;2;0;0;0;0;5;1;2;3;0;0;1;0;0;0;0;2;1;2;1;1;0;1;1;0;0;0
