Verkiezing;;Gemeenteraad Voorschoten 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorschoten;;;;;;;;;;;;;;;;;;;;;
Nummer;;0626;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kerk Het Kruispunt (A);Stembureau Kerk Het Kruispunt (B);Stembureau Voorhuis Dorpskerk;Stembureau Alettahof (A);Stembureau Alettahof (B);Stembureau Intratuin;Stembureau De Boschbloem (A);Stembureau De Boschbloem (B);Stembureau Bondsgebouw (A);Stembureau Bondsgebouw (B);Stembureau Sporthal De Vliethorst;Stembureau Hotel De Gouden Leeuw;Stembureau BplusC (A);Stembureau BplusC (B);Stembureau Cultureel Centrum;Stembureau De Boschbloem (ma);Stembureau Bondsgebouw (ma);Stembureau De Boschbloem (di);Stembureau Bondsgebouw (di)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;2251 BH;2251 BH;2251 BS;2253 RP;2253 RP;2253 JP;2252 EA;2252 EA;2251 LG;2251 LG;2251 CT;2252 AG;2253 CE;2253 CE;2252 HH;2252 EA;2251 LG;2252 EA;2251 LG
;;17;van Dunné, W.H.B.;19;0;0;2;1;0;1;0;1;2;0;0;0;0;6;1;0;4;1;0
;;18;Middelburg, J.;9;0;0;2;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;2
7;Voorschoten Lokaal;;;2220;139;116;141;117;137;130;76;116;68;75;248;113;52;56;191;72;118;127;128
;;1;Persoon, M.H.R.;1402;95;68;99;73;91;93;50;64;45;50;139;77;32;35;111;41;77;78;84
;;2;van den Ende, G.;162;11;14;10;7;8;10;1;8;6;3;35;4;5;4;13;7;3;5;8
;;3;Zoun, M.J.T.;140;7;6;12;12;11;3;7;12;1;4;7;7;5;5;11;7;5;8;10
;;4;van Duivendijk, W.J.;82;1;6;9;1;5;2;1;4;1;1;19;4;3;1;6;2;4;4;8
;;5;Hemmes, I.;111;9;4;3;9;7;6;2;5;2;7;9;4;2;3;14;2;6;11;6
;;6;van Meggelen, R.;31;0;2;0;2;0;3;0;2;0;0;7;1;1;0;4;3;6;0;0
;;7;de Graaf, J.W.;23;3;2;1;1;2;1;0;2;0;0;5;0;2;0;1;1;2;0;0
;;8;van der Meer, P.;14;1;1;1;0;0;0;1;5;0;0;3;1;0;0;0;0;0;1;0
;;9;Pereboom, A.;21;1;0;3;1;1;0;1;1;0;1;3;2;0;0;5;1;0;1;0
;;10;Annevelink, J.W.;10;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0
;;11;Perel, J.;68;6;1;0;2;0;5;2;4;5;1;9;2;0;3;13;2;4;8;1
;;12;Dijksterhuis, J.;31;4;3;1;0;1;2;0;0;1;1;3;0;0;0;6;1;4;2;2
;;13;Hendriks, A.J.M.;103;1;8;2;7;5;2;10;8;6;5;5;11;0;1;7;5;5;6;9
;;14;Rasch, J.C.M.;22;0;1;0;2;4;1;1;1;1;0;4;0;0;2;0;0;2;3;0
