Verkiezing;;Gemeenteraad Teylingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Teylingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Julianakerk;Gemeentekantoor Teylingen;Het Onderdak;De Coy (Stichting Oud Sassenheim);Sportcentrum De Wasbeek;De Molen van Sassenheim;Sassembourg;Bibliotheek Bollenstreek Sassenheim;"Soc. Cultureel Centrum ""Het Trefpunt 1""";"Soc. Cultureel Centrum ""Het Trefpunt 2""";Bestuurscentrum Voorhout 1;Sportcafe De Eijck;Bestuurscentrum Voorhout 2;De Roef (bij St. Bartholomeuskerk);"Jeugdcentrum ""De Spelewey""";Jongerencentrum @hok;Historische Kring Voorhout;"Cluster ""Hoogh Teylingen""";TH. Sport & Fitness;Bestuurscentrum 1 14 mrt;Bestuurscentrum 1 15 mrt;Bestuurscentrum 2 14 maart;Bestuurscentrum 2 15 maart;Trefpunt 1 14 maart;Trefpunt 1 15 maart;Gemeentekantoor Teylingen 14 maart;Gemeentekantoor Teylingen 15 maart;Mobiel stembureau Warmond Buiten/BC
;;1;Witteman, P.S.C.;555;41;21;26;50;44;40;23;17;15;14;12;8;15;14;25;8;18;11;3;9;9;8;13;14;16;31;49;1
;;2;Groenendal, S.;275;9;5;7;4;10;8;3;4;8;4;17;11;14;25;22;7;21;17;5;17;7;10;7;5;10;8;10;0
;;3;Koek, E.W.A.;142;5;4;2;1;5;3;2;1;1;3;12;6;7;18;17;1;8;5;3;7;5;4;6;0;7;4;5;0
;;4;Becker, T.J.;13;1;0;0;0;0;0;0;0;0;0;1;2;1;0;3;0;0;1;0;1;2;1;0;0;0;0;0;0
;;5;Mark, M.;19;3;2;1;2;4;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0
;;6;Huisman, R.;6;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van der Meer, G.;35;1;0;0;0;3;0;0;0;9;10;0;0;1;0;0;0;0;0;0;0;0;0;0;4;6;0;1;0
;;8;Scholte, R.;42;6;3;3;5;0;4;6;0;0;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;8;0
;;9;Brandhorst-van der Kroef, A.G.M.;20;0;1;0;1;0;1;0;1;0;1;0;2;2;3;1;0;1;0;0;0;2;0;1;1;2;0;0;0
;;10;Veerman, L.J.;35;2;2;1;0;2;1;2;0;0;0;2;4;3;2;1;1;2;1;2;1;0;3;0;0;1;1;1;0
;;11;Siebers, G.G.C.;44;1;2;5;3;3;6;3;3;0;0;0;0;0;2;2;0;2;0;0;1;1;0;2;1;0;3;4;0
;;12;Slingerland, G.J.M.;32;2;1;0;0;1;0;1;0;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;7;8;1;0;0
;;13;Kuipers, J.L.M.;5;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Doesburg, J.J.;8;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
7;ChristenUnie;;;704;37;22;37;21;22;21;31;8;25;20;43;21;52;52;35;17;37;33;9;11;30;14;23;16;14;22;29;2
;;1;Mack-van Bellen, M.;375;13;10;19;6;7;12;13;3;9;8;24;12;33;35;24;13;20;24;2;7;20;11;17;2;6;12;12;1
;;2;de Mooij, J.;78;3;4;0;2;0;2;1;3;15;8;2;2;0;0;3;0;1;0;0;1;4;0;0;13;7;3;3;1
;;3;Schutte-Meerdink, H.J.;25;0;1;0;0;1;1;0;0;0;1;0;2;2;4;3;0;2;2;1;0;1;1;3;0;0;0;0;0
;;4;Nijland, N.N.;51;6;3;9;4;5;2;8;0;0;0;0;1;0;1;0;2;5;1;0;0;0;1;0;0;1;0;2;0
;;5;van den Hout, S.I.U.;30;0;0;0;0;1;0;0;1;0;2;7;0;1;2;0;2;0;3;0;3;2;1;3;0;0;0;2;0
;;6;Schutte, W.A.;11;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;3;2;2;0;0;0;0;0;0;0;0;0
;;7;Hofman, K.;14;0;0;1;0;0;1;1;0;0;1;3;0;2;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0
;;8;Witteman, M.;37;5;2;4;3;1;2;3;1;0;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;7;0
;;9;Molenaar, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Overduin, P.;7;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
