Verkiezing;;Gemeenteraad Zoetermeer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zoetermeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat-1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnastieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 -  Oosterheem;Stembureau Castellum Palensteyn;Stembureau PKN Gemeente De Oase;Stembureau RK Genesarethkerk;Stembureau RK Kerk De Doortocht;Stembureau De Kerk van Jezus Christus;Stembureau Gebouw 't SegheWaert;Stembureau PKN Ichthuskerk;Stembureau RK Kerk Tabor;Stembureau Parochie de Kapelaan;Stembureau Wijkpost Rokkeveen;Stembureau Kerkelijk Centrum De Regenboog;Stembureau RK Kerk De Wijngaard;Stembureau Buurtcentrum De Vlieger;Stembureau CKC & Partners;Stembureau Sporthal De Veur;Stembureau Sporthal De Veur - 2;Stembureau Gymnastieklokaal Steeneikzoom 3;Stembureau Gymnastieklokaal Steeneikzoom 3-2;Stembureau Sportzaal Groen-Blauwlaan 121-2;Stembureau Gymnastieklokaal Kadelaan 206;Stembureau Gymnastieklokaal Nesciohove 115;Stembureau Sportzaal den Brabanderhove 20;Stembureau Sportzaal Lijnbaan 311-2;Stembureau Gymnastieklokaal Irisvaart 10;Stembureau Gymnastieklokaal Velddreef 330-2;Stembureau Sportzaal Forelsloot 5 -2;Stembureau Gymnastieklokaal Fivelingo 88;Stembureau Gymnastieklokaal Spitsbergen 1;Stembureau Gymnastieklokaal Spitsbergen 1-2;Stembureau Gymnastieklokaal Kruiswater 197;Stembureau Gymnastieklokaal Schansbos 7;Stembureau Sportzaal Driesprong;Stembureau Sportzaal Willem Alexanderplantsoen 6b - 2;Stembureau Pop-up stembureau Eesterwaard - Meerzicht;Stembureau Pop-up 5 Meistraat - Dorp;Stembureau Wijkgebouw 't Span;Stembureau Pop-up Sumatra- 1 Oosterheem;Stembureau Pop-up Sumatra- 2 Oosterheem;Stembureau Pop-up Nieuwlandstraat-2 - Oosterheem;Stembureau Pop-up Sartrezijde - De Leyens
;;16;Wennen, G.C.G.M.;8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Groenewegen, A.J.A.;16;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Janssen, R.T.J.D.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0
;;19;Sikkel, M.;23;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;2;0;0;1;0;0;1;0;0;0;1
;;20;Kasten, W.;13;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Zantvoort, A.H.G.;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Matabadal, A.;102;0;0;0;1;1;0;1;0;2;0;1;0;0;2;4;1;3;0;3;3;5;1;0;0;2;4;5;2;2;0;0;1;1;1;1;2;1;0;0;3;2;0;2;2;1;3;2;3;1;1;8;0;0;3;0;0;0;1;3;1;0;0;3;1;0;0;0;0;1;2;0;3;3;0;2;1
;;23;Kuiper, T.C.;27;0;0;1;2;0;0;0;0;0;2;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;3;0;1;1;0;0;0;0;1;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Huizer, L.M.;51;0;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;2;0;2;0;0;0;0;2;1;2;0;0;2;0;2;1;1;0;0;1;3;0;2;1;1;1;4;3;1;2;0;0;0;0;0;0;0;2;2;0;2;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
9;ChristenUnie-SGP;;;2273;25;24;42;21;27;14;15;16;12;42;24;14;20;23;72;19;39;14;34;19;34;85;40;27;31;12;59;45;24;29;21;23;40;64;29;13;31;38;32;34;47;28;35;29;29;45;44;58;16;32;34;26;0;40;26;22;28;23;21;25;18;0;22;11;21;22;23;37;40;41;87;28;29;8;30;21
;;1;Brouwer-Weemhoff, J.F.;1057;13;17;24;13;11;10;12;7;7;12;15;8;11;13;33;9;20;7;17;15;11;26;11;12;20;7;27;23;16;14;7;5;15;18;12;7;10;23;18;17;13;13;13;14;6;24;25;31;8;11;8;9;0;22;15;14;22;18;6;14;12;0;13;4;9;12;13;11;20;17;28;15;15;4;13;12
;;2;van Rumpt, H.;342;5;3;3;2;1;0;1;2;0;17;1;2;1;3;4;5;1;4;2;1;4;29;14;8;2;0;5;3;0;3;5;4;4;13;6;1;3;1;5;4;13;2;1;4;7;12;8;8;3;8;7;3;0;8;3;3;0;0;0;3;1;0;4;3;1;2;3;11;9;4;27;4;2;0;2;4
;;3;Hutten, A.;132;1;1;6;2;2;0;0;0;0;1;0;0;0;3;5;1;2;0;2;0;2;2;0;3;2;2;2;1;1;2;3;1;0;2;1;1;2;2;0;2;2;5;3;4;0;2;1;2;4;0;3;7;0;1;0;2;0;2;5;1;0;0;0;0;2;2;4;1;2;5;3;2;1;1;6;2
;;4;Hut, P.L.Y.;61;1;2;0;0;2;0;0;1;1;0;1;0;0;1;1;0;0;0;4;1;1;1;0;2;1;0;2;1;0;0;1;0;4;0;0;0;5;1;2;1;1;0;1;0;1;1;0;2;0;0;0;1;0;3;0;1;1;0;2;1;3;0;0;2;1;1;0;0;0;0;0;0;1;0;1;0
;;5;Bos, A.A.L.;71;0;0;1;0;0;0;1;0;0;4;2;1;1;1;4;2;0;0;0;0;0;4;1;0;1;0;6;0;1;1;0;2;1;1;1;1;0;0;0;3;4;0;2;1;1;0;1;4;0;0;1;1;0;1;2;0;1;0;2;0;0;0;1;0;2;0;0;0;0;1;2;2;1;0;1;0
;;6;Walinga, A.W.;80;0;0;1;2;2;2;0;2;2;1;3;3;0;0;6;0;1;0;0;0;0;1;1;1;0;0;0;2;1;4;1;1;5;2;0;0;3;2;0;2;1;2;3;1;0;0;1;0;0;0;5;0;0;0;1;0;1;0;0;2;0;0;2;0;2;0;1;0;1;0;2;0;2;1;1;0
;;7;Weening, A.J.;81;0;0;0;0;1;0;0;2;0;2;0;0;0;0;2;0;3;2;4;0;1;7;4;0;0;0;0;3;0;1;0;0;0;3;0;0;2;1;0;1;6;0;3;1;1;0;2;4;0;3;3;0;0;1;1;0;0;0;2;1;0;0;0;0;1;0;0;2;0;0;10;0;0;0;0;1
;;8;van Dorp, J.P.;42;1;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;2;0;0;0;3;4;1;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;3;1;0;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;6;0;0;1;0;1;0
;;9;Alles, H.L.C.;33;2;1;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;5;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0
;;10;Spruijt-de Gelder, K.E.;37;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;3;0;0;1;1;1;3;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;2;0;1;1;0;1;0;0;0;0;0;0;2;0;1;0;0;2;1;0;0;0;1
;;11;Velzen, E.M.C.;32;0;0;0;0;0;0;0;0;1;0;0;0;5;0;1;0;0;0;1;0;1;1;1;0;2;0;2;0;0;0;1;0;0;0;2;0;0;0;1;0;0;5;1;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;12;Torn, J.F.;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Edelenbosch, N.;21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;1;0;0;2;0;2;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Havenaar, M.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;5;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0
;;15;de Gier, R.C.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;1;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0
;;16;Vooijs, R.;28;2;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;2;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;4;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;van der Slik-Bregman, H.C.;30;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;3;1;0;1;1;0;1;0;0;2;1;2;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;1;0
;;18;van Leenen, H.;18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;1;2;0;0;0
;;19;Hamel-Brown, S.L.;21;0;0;1;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0
;;20;Blom, A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Roeleveld-Euving, H.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;2;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0
;;22;van der Slik, H.J.;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
;;23;Bruin, A.S.J.;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;24;Vermeulen, W.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;25;de Jager, J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van der Slik, J.L.;23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;1;1;2;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0
;;27;van Veen, L.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;28;Rodenburg, J.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Schra, K.;22;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0
;;30;van Dorp, H.W.;31;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;1;0;1;2;1;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;2;0;0;1;2;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0
10;Zoetermeer Vooruit;;;3919;38;51;64;29;73;46;53;28;34;28;34;29;43;27;61;32;80;50;64;24;41;46;32;24;104;28;128;54;68;45;47;26;84;55;45;47;56;45;57;104;48;28;75;63;28;82;45;84;38;44;59;45;0;95;74;65;38;72;53;51;42;0;65;49;38;47;53;45;29;74;41;55;78;32;51;109
;;1;Meurs-Troch, M.J.;2331;28;34;46;16;47;29;37;19;16;18;24;16;27;16;40;19;51;22;38;14;20;32;18;18;51;16;77;29;43;20;33;14;50;32;28;30;26;24;24;66;24;17;47;39;16;48;32;61;24;31;35;27;0;63;45;40;20;32;33;25;28;0;36;28;21;32;26;32;14;45;27;29;48;24;22;52
;;2;Bink-Winterkamp, Y.;388;2;3;5;2;6;10;3;0;4;1;2;1;1;4;5;5;14;7;5;1;5;6;4;1;11;2;8;8;6;10;4;1;3;7;1;4;3;4;6;15;4;4;6;8;3;15;6;8;5;0;5;1;0;10;12;11;5;6;5;7;4;0;6;4;2;4;5;2;1;3;4;8;7;2;4;21
;;3;Cero, A.;134;1;2;3;0;4;1;0;1;3;2;3;0;5;1;3;0;1;0;0;1;2;2;0;1;4;0;3;0;5;6;1;3;2;0;2;1;3;3;4;4;2;0;1;0;1;2;0;3;1;1;5;2;0;0;3;1;0;0;4;3;2;0;0;3;1;2;0;0;2;5;6;0;4;0;2;1
;;4;Nivillac, L.;160;0;7;1;0;3;0;1;0;5;1;2;2;1;0;1;1;3;1;2;3;2;1;1;1;5;1;9;3;1;1;0;2;6;5;1;3;4;2;1;2;0;0;0;0;0;4;1;2;1;1;0;1;0;3;2;2;1;3;0;1;0;0;8;2;2;2;2;3;3;7;0;3;6;0;8;7
;;5;van Ballegooij-De Juncker, J.H.;89;0;3;0;1;1;1;2;0;1;1;0;1;2;3;2;0;3;2;0;0;0;1;0;0;4;2;2;0;1;1;1;0;0;2;2;3;3;1;9;1;1;0;1;1;1;0;0;1;0;0;1;3;0;0;0;1;0;1;0;2;0;0;1;0;2;0;7;1;0;2;1;2;3;0;1;0
;;6;van Rhijn, J.L.;155;2;0;1;3;4;2;4;2;2;0;2;0;2;0;1;1;1;0;6;4;4;1;0;0;4;3;1;1;3;3;4;3;4;0;2;0;4;2;3;5;5;3;2;4;1;1;0;2;1;5;2;0;0;3;2;4;1;4;5;0;1;0;1;4;2;0;3;1;0;2;0;7;0;0;0;5
;;7;Mohammadian, S.;99;0;1;0;2;0;0;1;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;8;1;11;1;2;0;0;0;1;1;1;0;6;3;1;2;0;1;3;1;0;1;3;2;1;0;3;2;0;1;1;1;1;5;2;0;1;0;2;0;0;0;2;1;2;0;2;0;2;1;5;1
;;8;Wiltenburg, I.;67;1;0;0;0;0;2;1;0;0;1;0;2;2;2;0;1;2;2;1;0;2;0;0;0;1;0;1;2;1;1;0;0;1;1;2;2;0;0;0;0;2;1;0;4;2;2;0;1;1;0;0;2;0;4;3;0;1;0;1;0;3;0;0;2;1;1;0;1;1;0;0;0;0;0;0;3
;;9;van Putten, T.;45;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;2;0;2;0;0;0;0;0;0;4;0;0;1;0;0;0;0;2;1;1;1;0;1;2;0;2;0;3;0;0;1;0;2;1;2;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;3
;;10;Tiemensma, M.;54;0;0;2;0;1;0;0;1;0;0;0;3;0;0;2;1;1;0;5;0;0;0;0;1;1;0;1;1;0;0;0;2;1;0;1;1;1;1;0;3;3;0;1;1;0;0;0;0;0;0;0;1;0;1;1;2;0;0;1;1;0;0;3;3;1;0;0;0;0;0;0;1;2;1;1;0
;;11;Luijten, J.C.;76;1;0;1;2;0;0;1;0;0;0;0;0;1;0;0;0;0;9;0;0;0;0;4;0;1;1;2;2;2;3;0;0;1;1;1;0;1;1;1;0;0;1;1;0;4;1;0;0;0;1;1;1;0;1;2;0;4;1;0;2;0;0;0;0;1;0;1;1;5;1;0;1;1;1;1;7
;;12;van Brummelen, J.M.M.;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;1;2;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;2;0;0;1;1;0;0;0;1;0;0;0;2;0;0;2;0;2;0;0;3;1;0;0;6;0;1;0;0;3;0
;;13;Vermeulen, P.H.;41;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;2;0;0;0;1;0;1;2;0;0;1;0;3;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0;1;1;0;13;0;2;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
;;14;Bitter, M.;119;0;1;3;0;1;0;3;0;1;2;0;0;2;0;3;1;2;2;2;1;2;2;1;2;5;1;6;4;1;0;2;0;8;0;2;0;3;0;1;4;5;1;6;0;0;2;1;1;0;0;1;3;0;2;1;0;1;1;1;5;0;0;1;2;3;2;0;1;0;1;0;0;3;1;1;5
;;15;Hortensius, IJ.J.;24;0;0;1;2;1;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;1;0;0;2;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0
;;16;Meurs, R.;97;2;0;1;1;4;0;0;3;1;0;1;1;0;0;1;1;0;0;4;0;1;0;3;0;1;0;3;1;2;0;1;1;3;3;0;0;1;2;1;2;0;0;3;2;0;0;2;0;2;2;1;1;0;5;1;1;4;3;1;2;1;0;5;0;1;0;5;1;0;2;0;0;2;1;1;3
11;Zó! Zoetermeer;;;4508;99;31;60;45;120;64;59;46;44;52;24;20;83;42;112;62;160;66;70;46;36;52;66;46;110;27;83;69;75;46;75;57;69;39;44;27;58;29;59;120;27;56;83;63;21;114;58;75;46;37;69;53;0;114;61;86;73;58;59;46;43;0;93;21;36;60;63;62;42;93;38;62;41;17;43;103
;;1;van der Meer, M.C.;3302;90;29;45;29;95;60;50;40;30;44;22;14;73;40;65;42;107;57;51;33;26;44;52;28;80;21;57;50;52;37;50;42;47;28;31;14;35;21;46;101;20;44;54;39;16;87;42;57;32;26;53;29;0;82;36;72;56;32;40;27;29;0;70;14;22;37;42;47;28;62;31;54;29;10;29;76
;;2;van der Vlies, R.;168;0;0;3;2;5;0;0;2;2;4;1;0;1;1;8;5;8;0;2;0;2;2;1;2;5;1;6;1;4;2;5;3;2;2;3;1;1;3;2;1;1;1;5;1;1;3;2;2;0;2;2;0;0;2;3;1;3;2;0;2;2;0;3;1;1;4;4;1;3;4;1;2;3;2;3;8
;;3;Markes, R.A.E.;138;0;0;3;0;6;0;0;1;2;1;0;2;0;0;4;1;12;1;0;4;3;2;2;0;0;1;2;4;2;0;2;2;1;0;2;1;1;0;3;0;0;1;3;1;1;3;4;8;4;0;0;2;0;8;1;0;0;4;1;3;2;0;0;0;1;5;4;0;0;6;0;0;2;0;5;4
;;4;van der Perk, J.R.B.;64;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;6;2;2;1;3;2;1;0;0;1;0;0;0;2;1;0;0;2;0;0;0;4;0;0;0;0;1;3;2;0;4;0;0;0;0;1;0;0;0;2;2;1;2;1;1;3;0;0;0;0;0;1;3;4;2;1;0;0;0;0;0
;;5;de Graaff, H.J.A;47;0;0;0;1;2;1;6;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;1;2;2;0;1;1;0;0;4;1;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;2;2;0;1;0;0
;;6;Kervezee - van den Berg, A.F.R.;118;0;1;1;2;2;1;0;0;1;1;1;1;3;0;3;1;6;0;7;0;1;2;1;1;4;0;1;3;0;1;4;2;4;1;1;1;3;1;0;4;0;3;1;2;0;1;1;0;1;3;2;1;0;4;1;0;1;1;0;3;0;0;4;0;2;1;2;2;3;3;1;2;0;1;2;4
;;7;Roos, R.G.F.;98;0;1;0;1;3;1;0;1;1;0;0;1;1;0;1;1;2;3;1;1;0;0;3;1;3;0;5;1;1;1;0;0;0;3;1;0;0;0;3;2;1;1;1;0;0;2;2;0;1;2;2;3;0;2;1;3;2;5;2;1;0;0;6;1;0;3;0;2;0;7;1;0;1;0;1;2
;;8;Hogeveen - Woudman, C.A.;40;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;3;0;1;2;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;2;0;1;1;0;1;1;1;0;3;0;1;2;3;2;0;1;0;0;0;0;0;0
;;9;Kepinski, W.A.S.;26;9;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;10;Autar, R.S.;172;0;0;1;0;2;0;3;1;5;0;0;2;3;0;11;4;4;0;0;2;1;0;2;5;5;3;7;5;0;0;5;4;4;0;0;2;6;2;4;4;1;1;9;3;0;4;2;0;1;1;1;7;0;3;0;0;2;4;6;3;2;0;0;2;0;2;2;1;2;4;0;0;3;1;1;7
;;11;Hijzelendoorn, J.E.H.;39;0;0;1;4;3;1;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;2;6;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;1;0;2;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1
