Verkiezing;;Gemeenteraad Dordrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dordrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Stadskantoor;Dordrechts Museum;Energiehuis;Centraal Station  Portacabin op bordes;Wooncentrum Schouwstock;Gebouw De Driesprong;Zorgcentrum De Linde;Pinkstergemeente Het Keerpunt;Dordtse Vrije School;Gymzaal Dintelstraat;Wijkcentrum De Koloriet/Kleurrijk;Het Waterwiel;Speeltuin Zeehavenkwartier;Wijkcentrum De Admiraal;Wooncentrum Watersteijn;Postillion Hotel;Trefpunt de Nieuwe Stoof;Gymzaal Deetoshal bureau 1;Gymzaal Deetoshal bureau 2;Cultureel Centrum Sterrenburg;Albert Schweitzerziekenhuis  Dordtwijk;Verpleeghuis De Sterrenlanden;Portacabin Eulerlaan;Gymzaal Ockenburg;Ontmoetingskerk  bureau 1;Verzorgingshuis Dubbelmonde;Hotel De Watertoren;Lucina Verloskundigenpraktijk;Wielborgh  Het Polderwiel;Kandelaarkerk;Speeltuin Stadspolders;Gymzaal  bureau 1;Gymzaal  bureau 2;Het Sinterklaashuis;Gymzaal Van den Broek-Erf;Grote Kerk;Wilhelminakerk  bureau 1;Kerk De Bron;Portocabin;Zwembad/ijsbaan;Theater Inter Amicos;Wilhelminakerk  bureau 2;Jubal Muziek Centrum  bureau 1;Jubal Muziek Centrum  bureau 2;Basisschool Wantij  bureau 1;Basisschool Wantij  bureau 2;Julianakerk  bureau 1;Julianakerk  bureau 2;School Brouwersdijk;Apostolisch genootschap;Portocabin;De Zuidhovenkerk;Gymzaal Atmosfeerstraat;Gymzaal De Weegschaal;Gymzaal Sandenburg;Ontmoetingskerk  bureau 2;Gymzaal Heimerstein;Evangelische Gemeente Jozua;Gymzaal Van Schendelstraat  bureau 1;Deltahal  bureau 1;Deltahal  bureau 2;Gymzaal Van Schendelstraat  bureau 2;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren
;;19;van Wingerden, M.;49;1;0;0;0;1;1;1;0;1;0;0;0;0;0;2;1;0;0;1;1;3;0;0;2;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;1;3;0;1;0;0;0;0;0;2;0;2;0;1;0;0;0;0;1;0;1;0;0;0;0;1;2;3;1;0;2;0;0
8;Verenigde Senioren Partij Dordrecht;;;4700;91;40;45;49;25;98;107;0;51;55;49;60;8;33;78;51;39;64;31;20;266;22;8;92;65;108;18;132;102;7;53;56;25;42;32;126;41;18;105;58;51;13;28;40;21;44;38;42;43;86;39;28;58;92;34;45;88;82;13;79;87;52;76;57;110;25;35;49;36;54;122;77;179;44;38;55;63;51;156
;;1;Stolk, M.G.;3323;59;24;34;34;17;68;78;0;32;35;28;48;4;26;62;40;25;48;23;15;220;15;5;68;44;80;10;95;77;5;35;44;18;30;20;77;25;11;77;45;30;9;21;28;15;35;28;27;29;49;32;21;39;69;25;26;64;59;10;46;60;37;48;40;79;21;23;35;29;44;75;62;114;27;31;42;52;35;106
;;2;Stolk, L.J.C.M.;124;2;2;3;3;0;0;3;0;1;3;2;0;0;0;3;0;0;0;0;0;5;0;0;4;1;0;1;3;1;0;2;2;0;3;1;5;1;2;5;1;3;0;0;5;1;0;1;2;1;4;0;2;2;3;0;2;3;4;0;1;2;3;1;3;4;2;3;0;0;1;0;0;2;2;0;3;2;2;1
;;3;in 't Veld, A.A.;135;3;1;2;1;1;5;4;0;3;3;0;0;3;0;3;0;2;1;1;0;2;0;1;0;3;2;1;4;2;0;3;1;1;1;1;3;1;2;2;2;0;2;0;3;0;0;0;3;1;5;0;1;0;1;1;2;1;2;0;4;2;2;5;2;3;0;2;3;0;1;6;1;2;3;2;0;1;0;9
;;4;Striebeck, B.A.;203;6;5;1;2;1;8;3;0;2;0;6;4;0;1;1;2;0;2;3;2;9;4;0;2;0;4;1;6;4;1;4;2;0;0;2;3;1;0;1;0;0;0;1;2;1;2;1;0;0;5;0;1;3;2;0;3;4;3;0;6;6;3;3;4;4;2;0;4;0;0;13;3;10;4;1;1;1;2;15
;;5;de Vries, A.;62;0;0;0;0;0;2;1;0;1;3;1;2;0;1;0;2;1;4;0;0;1;0;1;0;3;3;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;0;1;0;1;5;0;0;0;5;1;0;1;0;0;2;0;0;0;0;0;0;5;1;0;0;0;1;0;0;4;0
;;6;van Es, P.;30;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;2;4;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2
;;7;Vervoort, E.H.;44;1;0;0;0;2;5;0;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;8;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;0;0;1;0;1;0;1;0;0;0;0;2
;;8;van Asch, J.R.;103;1;1;1;1;0;0;0;0;0;0;3;1;0;0;0;1;1;1;1;1;2;0;0;5;1;2;2;4;2;0;0;0;0;2;0;11;0;0;1;0;2;0;0;0;3;1;0;0;0;0;0;0;1;1;0;6;2;5;0;6;2;0;0;0;4;0;1;1;1;0;7;0;8;3;0;0;1;0;3
;;9;van Heck, W.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;10;Peters, G.B.;46;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;2;0;2;1;0;0;0;2;0;0;4;0;0;7;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;4;0;0;0;3;0;0;0;2;0;1;1;0;0;0
;;11;Pluijmert, J.;44;1;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;4;0;0;1;1;0;3;0;0;0;0;0;0;0;3;4;4;2;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;3;0;2;2;0;1;0;0;0;0;1;0
;;12;van Laar, J.;70;1;0;0;1;0;1;1;0;0;2;0;0;0;0;0;1;0;1;0;0;1;0;0;0;2;0;0;5;4;0;2;0;0;0;0;8;1;0;1;6;2;0;0;0;0;1;0;0;0;1;1;0;1;0;0;4;1;0;0;4;0;2;1;0;4;0;0;0;0;0;2;3;1;2;0;0;0;0;2
;;13;de Deugd, B.;40;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;2;1;0;0;0;3;0;0;1;0;2;1;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;5;0;0;2;0;0;2
;;14;Heijsman, A.C.;49;0;0;2;0;1;1;3;0;1;0;0;0;0;1;1;0;2;2;0;0;2;0;0;0;0;3;0;1;4;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;2;5;0;2;0;3;0;0;0;0;0;2;0;0;0;1;0;0;1;1
;;15;de Jong, H.;18;1;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;van der Dussen, M.P.;14;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
;;17;Tazelaar, H.A.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;4;0;2;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;;18;de Bruijn, J.D.;59;3;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;0;0;0;1;1;0;1;3;0;0;0;1;1;1;0;0;1;1;0;0;3;2;0;2;1;0;0;0;0;0;2;2;1;3;0;0;0;3;0;0;0;3;2;3;0;0;2;0;0;4
;;19;in 't Veld, R.;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
;;20;Scharloo, W.C.;56;1;0;0;1;0;0;2;0;0;2;0;0;0;1;0;0;1;0;0;0;7;0;0;4;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;0;1;2;0;0;0;2;3;3;0;1;3;0;1;0;0;2;0;0;0;0;3;0;0;0;2;3;0;0;1;1;2;0
;;21;Sörensen, A.C.;13;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;22;Dudok, R.A.;45;3;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;0;1;1;0;1;0;0;2;0;0;2;0;3;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;1;0;10;0;1;0;0;0;0
;;23;Hoogvliet, M.;50;1;1;0;1;0;0;2;0;2;3;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;3;0;0;1;0;1;4;2;0;1;0;0;2;0;2;0;0;0;1;1;0;10;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;24;Kroonen, J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
;;25;Janssen, H.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;26;Gijsberts, T.J.;17;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2
;;27;de Bruijn, A.;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;28;Stieding, M.;8;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;29;Gortzak, A.L.W.;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;30;Koolman, C.E.;4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;31;van Heeren, R.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
;;32;Hanoeman, L.M.;27;4;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;4;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2;2;0
;;33;Venloo, S.R.;18;0;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1
;;34;Ardon, J.C.P.;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;35;Tazelaar, H.J.;12;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
9;Partij van de Arbeid (P.v.d.A.);;;2777;98;68;60;91;46;38;118;4;26;49;18;31;4;2;49;25;17;36;12;21;132;6;4;64;25;72;8;38;33;4;37;40;17;16;34;44;32;36;51;25;26;40;34;6;5;20;17;17;35;40;35;42;19;48;20;21;61;55;2;20;23;22;26;60;33;20;35;15;26;16;57;87;63;17;41;21;33;28;60
;;1;van der Spoel, W.;1448;45;32;29;35;28;22;59;4;10;26;9;18;3;1;22;17;8;16;10;7;74;4;2;36;11;48;5;19;19;3;22;21;7;10;14;23;7;23;25;10;15;18;15;1;2;12;11;9;16;23;11;24;6;24;11;11;35;35;1;15;11;13;11;36;20;12;18;7;17;10;29;49;37;11;15;14;11;13;35
;;2;Damen, L.A.J.M.;85;2;2;3;1;0;2;3;0;1;1;0;0;0;0;1;0;2;0;0;0;4;1;1;1;2;0;1;1;0;0;0;0;2;0;1;1;0;0;1;0;3;0;0;1;0;1;0;3;4;0;0;0;2;10;0;0;2;0;0;0;1;3;2;0;1;0;0;1;2;0;2;4;0;0;2;2;2;3;0
;;3;Schnabel, A.M.;445;18;13;14;17;6;8;24;0;7;11;5;7;0;0;2;1;3;2;0;4;21;0;1;9;2;10;0;6;7;0;8;2;0;2;4;8;12;5;9;6;0;8;9;1;1;3;0;3;6;12;14;10;5;0;4;5;12;2;0;3;3;0;4;12;5;6;6;5;2;2;9;11;4;2;11;1;3;2;5
;;4;Stevens, I.E.;141;9;5;4;6;4;0;2;0;1;3;1;0;0;0;3;1;0;2;1;1;7;0;0;3;3;1;1;4;1;0;0;1;2;0;4;1;1;2;5;0;0;3;4;0;0;1;4;1;1;0;1;0;2;1;0;0;4;1;0;1;3;0;2;3;1;0;4;0;0;0;6;6;3;0;2;1;5;0;2
;;5;Verbeek-Versluis, F.;111;2;4;4;4;1;3;4;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;4;4;1;4;2;0;2;3;0;0;3;1;4;0;1;1;1;0;0;2;1;1;1;0;1;2;1;3;0;1;2;0;2;3;0;0;0;1;2;0;3;0;4;0;1;0;4;4;4;1;0;0;1;0;7
;;6;Vliet, R.A.J.;45;1;0;1;4;0;0;8;0;1;1;0;0;0;0;1;0;2;0;0;0;0;0;0;5;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
;;7;Jansen, A.J.;14;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
;;8;Puik, P.M.;12;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
;;9;Gül, Y.;80;0;0;1;9;1;0;3;0;0;0;1;2;0;0;11;0;0;5;0;3;4;0;0;2;1;1;0;0;0;0;1;6;0;0;0;0;0;0;1;5;0;0;0;0;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;3;0;2;0;8;0;0
;;10;van Laarhoven, J.;66;3;5;0;3;0;0;1;0;1;0;0;0;0;0;1;0;0;9;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;3;0;3;0;0;0;2;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;1;6;1;0;0;1;0;7;0
;;11;Versluis, V.I;71;7;0;1;3;1;0;2;0;1;2;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;2;0;4;3;3;1;0;0;1;3;1;0;0;0;0;0;1;0;2;0;1;0;0;1;1;3;0;1;0;0;2;0;0;0;0;0;0;0;1;3;1;2;3;1;2;1;3
;;12;Eenink, R.G.;9;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van der Kraan, C.H.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Moesman, J.F.;64;0;0;1;0;0;3;3;0;1;1;0;3;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;3;0;0;4;0;1;0;2;0;0;2;0;2;1;1;0;0;0;0;0;0;0;0;2;1;0;2;0;0;6;0;0;0;2;0;0;0;2;0;0;0;0;1;1;4;0;3;0;0;1;3
;;15;van der Laan, E.M.;11;0;0;1;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Brouwers, J.;12;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;17;van den Bergh, J.;35;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;4;0;0;2;2;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1
;;18;Hamburger, R.;14;0;1;0;1;2;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Weidema, M.C.T.;45;6;0;0;1;1;0;4;0;1;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;0;1;1;0;0;3
;;20;Schreuders, M.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;de Vries, F.C.;15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0
;;22;Fernando, A.P.;23;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;2;7;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Gooshouwer, L.M.;15;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;24;Donk, C.;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
10;Gewoon Dordt;;;1743;74;56;32;25;36;19;63;1;23;39;33;33;4;0;26;16;8;13;7;9;53;11;0;61;25;42;0;48;38;1;41;51;15;9;21;38;31;12;43;40;15;12;9;12;9;10;15;13;16;22;19;23;13;18;18;27;26;39;5;25;21;14;25;20;22;4;10;12;3;4;15;39;36;11;13;16;4;5;26
;;1;Koene, I.;1124;42;30;20;15;17;13;37;1;18;19;26;17;3;0;17;14;6;9;4;5;41;7;0;44;14;32;0;28;26;1;30;29;11;6;11;29;21;4;28;22;9;9;5;7;5;5;10;9;9;13;9;14;13;12;11;14;18;29;5;19;19;12;19;12;16;2;9;4;2;3;11;27;23;7;4;9;2;3;18
;;2;Kleinpaste, G.J.;90;8;1;1;3;7;0;2;0;1;1;0;0;0;0;0;0;1;2;0;0;2;0;0;1;0;2;0;4;1;0;3;0;0;0;5;0;3;0;0;4;1;0;1;0;0;1;0;0;2;1;0;4;0;0;1;0;4;2;0;1;0;0;1;3;0;0;0;1;1;0;1;5;1;1;1;4;1;0;0
;;3;Roggekamp, J.E.M.;58;2;0;2;0;0;0;1;0;0;1;0;8;1;0;1;1;0;0;1;0;0;1;0;1;1;0;0;5;1;0;3;0;0;0;1;1;0;1;3;2;2;1;0;1;3;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;2;1;2;1;0;0;0;0;0;1;0;1;0;0;0;0;0
;;4;Dolderman, D.G.;104;4;16;0;1;4;0;4;0;0;2;0;5;0;0;0;0;0;0;1;3;1;1;0;2;6;1;0;5;2;0;1;3;0;0;0;3;1;0;6;2;0;0;2;0;0;3;0;0;2;2;1;1;0;0;0;2;1;0;0;1;0;1;0;1;4;0;0;0;0;0;1;1;3;0;0;0;0;1;3
;;5;de Fouw, A.M.A.;64;5;0;1;2;0;0;7;0;0;1;0;0;0;0;2;0;0;1;0;1;1;0;0;2;1;0;0;2;1;0;2;5;0;0;1;1;1;0;0;5;0;0;0;3;0;0;2;1;1;1;2;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1
;;6;de Smoker, A.;48;2;1;1;0;0;1;2;0;2;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;2;0;2;1;4;2;0;1;0;0;0;0;0;2;1;1;1;0;0;0;2;0;1;0;1;0;1;0;1;0;0;0;0;1;3;0;0;0;1;1;0;2;0;0;0;0
;;7;Dijkstra, J.A.;45;2;2;1;1;3;0;3;0;2;0;1;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;2;0;0;0;3;1;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;2;2;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
;;8;van Schaijk, W.;9;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0
