Verkiezing;;Gemeenteraad Bodegraven-Reeuwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bodegraven-Reeuwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Meent;bij Everts;De Doortocht;Dienstencentrum 'Rijngaarde';Voetbalvereniging ESTO;sporthal 'De Sporthoeve' Hal 1;sporthal 'De Sporthoeve' Hal 2;'Hollandse Boerderij';'t Wierickehuis;Dorpshuis Custwijc;Huiskamer van Waarder;Dorpshuis De Kaag;Zalencentrum De Brug Zaal 1;Zalencentrum De Brug Zaal 2;Consistorie NH-Kerk;Sporthal de Meerkoet Hal 1;Sporthal de Meerkoet Hal 2;Gemeentehuis maandag;sporthal 'De Sporthoeve' maandag;Dorpshuis Custwijc maandag;Zalencentrum De Brug maandag;Gemeentehuis dinsdag;sporthal 'De Sporthoeve' dinsdag;Huiskamer van Waarder dinsdag;Zalencentrum De Brug dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;201;207;211;214;301;307;312;314
Postcode;;;;;2411 BD;2411 VV;2411 CV;2411 DS;2411 EV;2411 LL;2411 LG;2411 LG;2411 PK;2415 AW;3465 KG;3466 LN;2811 LE;2811 CA;2811 CA;2811 GC;2811 BM;2811 BM;2411 BD;2411 LG;3465 KG;2811 CA;2411 BD;2411 LG;3466 LN;2811 CA
;;27;Wesdorp, A.H.;10;1;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;de Vos-van der Velden, M.J.;10;3;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
;;29;Passchier, R.C.;4;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;30;Karssen, J.A.;47;4;10;3;1;6;5;0;2;0;1;0;0;1;0;0;0;0;0;5;6;0;0;2;1;0;0
3;Burgerbelangen Bodegraven-Reeuwijk;;;2195;148;79;104;87;105;72;127;80;19;51;51;36;165;193;125;42;54;41;68;63;6;90;111;94;10;174
;;1;Tijssen, R.A.E.;722;58;38;41;39;46;29;39;27;9;23;27;17;39;24;30;11;14;8;30;18;2;17;60;35;9;32
;;2;Kempeneers, J.P.J.M.;185;3;1;1;2;1;0;0;1;1;2;1;0;11;43;28;12;8;10;13;0;1;9;1;0;1;35
;;3;Castelein, H.P.;313;29;13;26;21;28;4;23;22;5;6;3;10;16;13;3;3;3;0;0;16;0;7;28;23;0;11
;;4;Borg, R.J.M.A.;244;4;0;1;1;0;1;0;0;0;0;1;0;7;68;31;8;18;14;0;0;0;30;1;3;0;56
;;5;Blijleven, H.A.;62;5;4;7;2;10;7;6;0;0;0;0;0;0;0;0;0;0;0;6;4;0;1;6;4;0;0
;;6;Hogendoorn, L.;156;13;8;10;2;4;9;37;18;0;4;2;0;2;4;2;0;0;0;5;12;0;0;2;18;0;4
;;7;Fokker-Versteeg, N.;70;5;4;3;6;4;6;3;5;0;1;4;1;2;2;3;0;4;0;0;6;1;1;3;3;0;3
;;8;Rijkenhuizen, H.W.J.;117;1;2;0;0;0;1;0;0;0;0;2;3;60;15;6;3;0;1;0;0;1;13;0;0;0;9
;;9;Hartevelt, M.P.D.;12;0;0;3;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;10;Smeenk, L.H.;74;2;0;1;0;0;0;0;1;0;0;2;0;10;12;13;2;4;4;0;0;0;5;2;0;0;16
;;11;van Dijk, W.S.B.;63;2;2;1;1;0;0;0;0;0;0;2;3;12;11;7;3;3;3;0;1;0;7;0;1;0;4
;;12;de Wilde, J.P.;14;0;0;0;0;0;0;0;0;0;10;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Verheijke, M.;23;9;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;2;0;0;5;0;0;0
;;14;Broekema, H.B.;47;10;0;3;5;8;1;6;0;1;0;1;0;3;0;1;0;0;0;1;1;0;0;1;2;0;3
;;15;Tijssen- van Krieken, W.;11;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;1
;;16;Houbolt, D.C.;7;3;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Rooij, P.J.;21;1;0;1;2;0;5;3;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0
;;18;van Herpen-Bus, C.H.J.M.;13;1;0;2;2;0;2;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0
;;19;Groenveld, A.C.;41;2;6;3;4;2;6;3;0;0;3;2;0;2;0;0;0;0;1;2;2;0;0;0;3;0;0
4;Staatkundig Gereformeerde Partij (SGP);;;1989;112;66;117;29;124;76;80;93;17;93;246;224;94;51;56;30;22;17;50;55;36;49;56;55;82;59
;;1;van den Heuvel, J.L.;1124;65;39;80;21;84;49;53;65;14;51;139;106;19;20;20;11;12;8;41;31;21;21;33;37;58;26
;;2;van der Smit, H.;380;13;6;9;4;5;4;2;3;1;14;43;56;61;22;34;18;9;9;3;3;6;17;6;1;6;25
;;3;Weerheim, G.C.;57;2;2;0;1;4;4;0;2;2;3;7;2;11;3;0;0;0;0;1;3;0;8;0;0;1;1
;;4;Biemond, J.;66;7;3;7;3;4;4;10;5;0;0;4;0;0;0;0;0;0;0;3;7;0;0;6;1;0;2
;;5;Uijl, W.H.F.;35;5;4;1;0;4;4;3;2;0;2;3;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0
;;6;Thierrij, C.A.;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van Eijk, P.J.;20;4;1;1;0;1;1;2;5;0;0;1;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0
;;8;de Bruijn, J.F.;5;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;9;Hoogendoorn, J.;8;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;10;Boele, A.J.;23;0;2;0;0;2;0;0;0;0;0;2;14;0;1;0;0;0;0;0;0;0;0;0;0;2;0
;;11;Graveland, G.J.;38;0;0;3;0;2;2;0;0;0;1;6;14;0;1;0;0;0;0;0;0;0;0;0;2;7;0
